parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
864,normal-aslr-off,keypair_cycles,-220.05859375000045,-193.6770833333303,-268.6263020833344,-187.18359374999932,16,16,candidate-faster
864,normal-aslr-off,enc_cycles,-260.8828125000002,-216.52083333333394,-406.74609375000045,-162.61588541666742,16,16,candidate-faster
864,normal-aslr-off,dec_cycles,-214.24348958333326,-166.38541666666788,-311.5989583333328,-142.31380208333348,16,16,candidate-faster
864,normal-aslr-on,keypair_cycles,-194.70572916666515,-186.28124999999636,-241.94010416666492,-149.70182291666424,16,16,candidate-faster
864,normal-aslr-on,enc_cycles,-220.8919270833337,-219.64583333333212,-290.9908854166674,-158.0677083333328,15,16,candidate-faster
864,normal-aslr-on,dec_cycles,-187.1822916666672,-197.60416666666788,-217.9140624999991,-150.97395833333462,15,16,candidate-faster
864,reversed-aslr-off,keypair_cycles,-145.90885416666583,-135.82291666666424,-161.4257812499991,-133.02864583333258,16,16,candidate-faster
864,reversed-aslr-off,enc_cycles,-247.46484374999955,-261.29166666666424,-290.6002604166665,-198.33593749999932,15,16,candidate-faster
864,reversed-aslr-off,dec_cycles,-206.64973958333326,-200.1145833333303,-234.3320312499991,-176.0729166666663,16,16,candidate-faster
864,reversed-aslr-on,keypair_cycles,-128.45963541666697,-118.3541666666697,-154.89453125,-103.89973958333371,16,16,candidate-faster
864,reversed-aslr-on,enc_cycles,-238.4062500000016,-237.93750000000364,-327.0611979166681,-154.134114583336,15,16,candidate-faster
864,reversed-aslr-on,dec_cycles,-202.69401041666606,-203.65625000000182,-246.51041666666606,-156.7148437499991,15,16,candidate-faster
