parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
1152,normal-aslr-on,keypair_cycles,-7802.458767361112,-7945.031249999996,-8071.104600694444,-7521.307725694445,48,48,candidate-faster
1152,normal-aslr-on,enc_cycles,-12074.322048611111,-12033.906249999998,-12121.287326388889,-12033.131944444443,48,48,candidate-faster
1152,normal-aslr-on,dec_cycles,-7472.093315972223,-7440.583333333332,-7510.284288194445,-7440.865885416666,48,48,candidate-faster
