experiments/gt864-p22-main-i16-ssa/candidate.sym.S:335: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:337: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:339: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:355: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:357: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:359: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:361: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:363: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:365: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:367: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:369: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:385: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:387: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:389: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:391: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:393: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:395: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:397: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
