parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
864,normal-aslr-on,keypair_cycles,-932.758246527778,-931.1770833333321,-950.6271701388891,-915.1276041666677,48,48,candidate-faster
864,normal-aslr-on,enc_cycles,-851.9027777777777,-829.1041666666679,-920.9613715277777,-791.3302951388886,48,48,candidate-faster
864,normal-aslr-on,dec_cycles,-1476.5030381944443,-1470.010416666666,-1499.1067708333328,-1452.0677083333333,48,48,candidate-faster
