parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
768,normal-aslr-on,keypair_cycles,-5031.098958333334,-5034.281250000004,-5047.400173611111,-5015.122395833334,48,48,candidate-faster
768,normal-aslr-on,enc_cycles,-7801.520833333334,-7805.135416666668,-7824.177951388889,-7777.70703125,48,48,candidate-faster
768,normal-aslr-on,dec_cycles,-4753.336371527777,-4751.885416666667,-4771.438368055556,-4735.45703125,48,48,candidate-faster
