cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,block,observation,cycles
0,0,0,781
0,0,1,742
0,0,2,726
0,0,3,720
0,0,4,715
0,0,5,723
0,0,6,713
0,0,7,721
0,0,8,714
0,0,9,725
0,0,10,728
0,0,11,722
0,0,12,722
0,0,13,712
0,0,14,715
0,0,15,730
0,0,16,745
0,0,17,715
0,0,18,715
0,0,19,706
0,0,20,710
0,0,21,735
0,0,22,724
0,0,23,702
0,0,24,709
0,0,25,721
0,0,26,722
0,0,27,735
0,0,28,726
0,0,29,715
0,0,30,715
0,0,31,715
1,0,0,668
1,0,1,631
1,0,2,643
1,0,3,641
1,0,4,795
1,0,5,640
1,0,6,634
1,0,7,631
1,0,8,642
1,0,9,639
1,0,10,642
1,0,11,634
1,0,12,644
1,0,13,630
1,0,14,640
1,0,15,636
1,0,16,647
1,0,17,636
1,0,18,634
1,0,19,635
1,0,20,641
1,0,21,635
1,0,22,640
1,0,23,632
1,0,24,636
1,0,25,640
1,0,26,644
1,0,27,639
1,0,28,635
1,0,29,634
1,0,30,639
1,0,31,639
2,0,0,336
2,0,1,315
2,0,2,303
2,0,3,306
2,0,4,303
2,0,5,306
2,0,6,308
2,0,7,309
2,0,8,317
2,0,9,316
2,0,10,315
2,0,11,311
2,0,12,309
2,0,13,312
2,0,14,306
2,0,15,317
2,0,16,315
2,0,17,316
2,0,18,297
2,0,19,299
2,0,20,309
2,0,21,299
2,0,22,311
2,0,23,312
2,0,24,309
2,0,25,317
2,0,26,306
2,0,27,301
2,0,28,308
2,0,29,316
2,0,30,316
2,0,31,307
3,0,0,1276
3,0,1,1267
3,0,2,1240
3,0,3,1252
3,0,4,1238
3,0,5,1245
3,0,6,1257
3,0,7,1245
3,0,8,1245
3,0,9,1258
3,0,10,1263
3,0,11,1244
3,0,12,1237
3,0,13,1246
3,0,14,1239
3,0,15,1261
3,0,16,1260
3,0,17,1257
3,0,18,1247
3,0,19,1222
3,0,20,1237
3,0,21,1264
3,0,22,1225
3,0,23,1273
3,0,24,1252
3,0,25,1245
3,0,26,1246
3,0,27,1246
3,0,28,1250
3,0,29,1258
3,0,30,1247
3,0,31,1240
4,0,0,700
4,0,1,676
4,0,2,678
4,0,3,678
4,0,4,736
4,0,5,653
4,0,6,690
4,0,7,703
4,0,8,678
4,0,9,669
4,0,10,711
4,0,11,669
4,0,12,686
4,0,13,658
4,0,14,678
4,0,15,654
4,0,16,666
4,0,17,655
4,0,18,668
4,0,19,648
4,0,20,674
4,0,21,666
4,0,22,670
4,0,23,654
4,0,24,680
4,0,25,674
4,0,26,652
4,0,27,659
4,0,28,678
4,0,29,653
4,0,30,666
4,0,31,681
5,0,0,683
5,0,1,662
5,0,2,670
5,0,3,662
5,0,4,674
5,0,5,650
5,0,6,640
5,0,7,636
5,0,8,648
5,0,9,641
5,0,10,650
5,0,11,636
5,0,12,670
5,0,13,634
5,0,14,633
5,0,15,635
5,0,16,653
5,0,17,641
5,0,18,632
5,0,19,642
5,0,20,668
5,0,21,643
5,0,22,650
5,0,23,650
5,0,24,624
5,0,25,641
5,0,26,634
5,0,27,643
5,0,28,666
5,0,29,637
5,0,30,661
5,0,31,645
6,0,0,1039
6,0,1,970
6,0,2,980
6,0,3,965
6,0,4,978
6,0,5,973
6,0,6,964
6,0,7,948
6,0,8,955
6,0,9,943
6,0,10,953
6,0,11,957
6,0,12,970
6,0,13,967
6,0,14,982
6,0,15,970
6,0,16,964
6,0,17,979
6,0,18,965
6,0,19,943
6,0,20,982
6,0,21,986
6,0,22,968
6,0,23,973
6,0,24,990
6,0,25,971
6,0,26,963
6,0,27,975
