cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1076 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,block,observation,cycles
0,0,0,779
0,0,1,729
0,0,2,713
0,0,3,716
0,0,4,723
0,0,5,731
0,0,6,723
0,0,7,707
0,0,8,716
0,0,9,722
0,0,10,715
0,0,11,726
0,0,12,728
0,0,13,725
0,0,14,722
0,0,15,715
0,0,16,722
0,0,17,712
0,0,18,714
0,0,19,709
0,0,20,709
0,0,21,723
0,0,22,717
0,0,23,711
0,0,24,714
0,0,25,727
0,0,26,719
0,0,27,713
0,0,28,735
0,0,29,717
0,0,30,708
0,0,31,711
1,0,0,668
1,0,1,640
1,0,2,733
1,0,3,638
1,0,4,643
1,0,5,632
1,0,6,651
1,0,7,647
1,0,8,637
1,0,9,643
1,0,10,637
1,0,11,638
1,0,12,634
1,0,13,637
1,0,14,638
1,0,15,652
1,0,16,646
1,0,17,649
1,0,18,637
1,0,19,630
1,0,20,639
1,0,21,632
1,0,22,634
1,0,23,636
1,0,24,623
1,0,25,634
1,0,26,637
1,0,27,633
1,0,28,638
1,0,29,632
1,0,30,637
1,0,31,635
2,0,0,338
2,0,1,328
2,0,2,302
2,0,3,304
2,0,4,301
2,0,5,306
2,0,6,301
2,0,7,309
2,0,8,303
2,0,9,311
2,0,10,305
2,0,11,309
2,0,12,311
2,0,13,308
2,0,14,306
2,0,15,308
2,0,16,314
2,0,17,306
2,0,18,305
2,0,19,310
2,0,20,306
2,0,21,311
2,0,22,311
2,0,23,310
2,0,24,311
2,0,25,306
2,0,26,307
2,0,27,301
2,0,28,310
2,0,29,310
2,0,30,305
2,0,31,307
3,0,0,1288
3,0,1,1265
3,0,2,1399
3,0,3,1242
3,0,4,1258
3,0,5,1252
3,0,6,1281
3,0,7,1222
3,0,8,1231
3,0,9,1247
3,0,10,1245
3,0,11,1243
3,0,12,1238
3,0,13,1240
3,0,14,1250
3,0,15,1250
3,0,16,1240
3,0,17,1245
3,0,18,1257
3,0,19,1251
3,0,20,1261
3,0,21,1222
3,0,22,1239
3,0,23,1248
3,0,24,1240
3,0,25,1248
3,0,26,1235
3,0,27,1237
3,0,28,1236
3,0,29,1228
3,0,30,1232
3,0,31,1258
4,0,0,691
4,0,1,672
4,0,2,687
4,0,3,672
4,0,4,683
4,0,5,670
4,0,6,672
4,0,7,661
4,0,8,676
4,0,9,660
4,0,10,663
4,0,11,692
4,0,12,673
4,0,13,684
4,0,14,683
4,0,15,701
4,0,16,801
4,0,17,1239
4,0,18,680
4,0,19,658
4,0,20,646
4,0,21,655
4,0,22,681
4,0,23,681
4,0,24,680
4,0,25,671
4,0,26,662
4,0,27,683
4,0,28,698
4,0,29,707
4,0,30,670
4,0,31,653
5,0,0,671
5,0,1,665
5,0,2,663
5,0,3,748
5,0,4,671
5,0,5,646
5,0,6,650
5,0,7,663
5,0,8,632
5,0,9,674
5,0,10,651
5,0,11,646
5,0,12,675
5,0,13,644
5,0,14,659
