implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
hash_f_cycles - 10941 +65+125+88+72-98+16-53+3+46-91-27+59+26+38-18+41+9+65-5+105-76-17-36-44-20-37-69-12-22+59+34-209
hash_g_cycles - 12137 +4-67+44-95-198-198+4+34-9-56-13+6+9+5+57-44-18+30-3-160+25-4-16-21+127+12+138-203+43+25+0+35
hash_h_cycles - 2647 +37+6-28+21+15+10-21+20+16+4+18+6+5+14+2-8-31-5+17+11-19+35+16-36-19-14-27-46-14-6-47-37
poly_mul_small_cycles - 2918 +112+92+44-34-20+36+14+34+53+8+3+29-24+22+4+16-9+45-16-36-27-28-3-6-7-1-23-13-12+6-29+21
poly_mul_general_cycles - 2928 +20+19+25-2+26-21+18-8+27-26+9+0-26+3-8+10+7+9-31+1+3-27-1-2-1+5-4-7-22+15-38-37
forward_small_native_inplace_cycles - 955 +24+28+10854+30+0-6+9+0+21+11+11+10+15+2-12+15+1-31-19-18-5-20-4+10-13-30-26+4-13-42+6-8
forward_small_preserve_input_cycles - 980 +54+6-16-8+16-21-5-3-14-4+6-17+22-4+24+13+2+0+23-35+22+21-14-16-1+1-6+2+20-17+5+15
forward_general_native_inplace_unqualified_cycles - 954 +17+10+6+12+0+13-24-6-10-1-10-18-9+6+1-2+24+5-10+5+6+5-3+2+0-2+15-4-2-1-14-5
forward_general_preserve_input_unqualified_cycles - 981 +42+13+21-2-2+1-7+11-20-24-23-12-12+2-13+8+2+11+13+1+14-25+8-9-13+9+15-18-2+1+12-13
basemul_cycles - 722 +47+6+1+2+1-10+3+5+6+10+5+8+11+10-7-17+9-20-5-3-8+6-16-9-11-19+49-1-15-17-20+2
basemul_scale_cycles - 626 +17+7+6+5-3+8-6-7-3-2-7-3-2-1-4-4-1+2-4+2+7+3+3+2+0+1+3+0+3+6-6-3
inverse_cycles - 996 +45+26-1-1+24+4+4+2-4-2-13+0-7-31-15+4+2+5-5+1-9-10+7-12-24+2+2+31+8+23-7-14
baseinv_cycles - 1242 +33+22+14-9-15+169-12+20+20-2+5-13-16+68-5-8-15+1-20-8+3-12-9+13-20+0+20+6+5-18+11+12
poly_frombytes_cycles - 344 +37+8+0-1+2+0-4+5-2+1+1-3+1+4+3-2+8-2-4-4-3+5-2+0+2+0+5+0-1-5-4+0
poly_tobytes_cycles - 417 +32+17-3-2-4-4+10-3-1+9+0+6+3+3-9-1+0+2+5-1-4-4+10-1+1-5-1-4+5+14-5+0
cbd1_cycles - 326 +13+4-7-10+6+4+4+1-1-21-19-18+5+0+12-20+19+5+8-1+6-2+13+17-20-15-16-15-13+7-20-19
crepmod3_cycles - 428 +60+12+2-10+2+1-2-3+9+1-2+3-5+7+1+7+1+13+0-4+8-3+9-2-3-3+1-9-11-14+1-6
poly_add_cycles - 243 +74+3-18+0+3+1-19-15-1-4-11-1+2-2-17+7-11-3-4+1-3+0+3+0+0+5+7+4+4+2+4+3
poly_sub_cycles - 233 +16+9+1-6+0+11+0+5-7-2+1-7+4-5-7-1+0-3+0-4+0+2+4-1-2+5-7+1+7-5-2-1
sotp_encode_cycles - 324 +20+10+1+1-7+12-8+2-2+2+4+5+3+1+7+5-2-2+5+1+3-13-3-14-9-9-12+1-7-5-10-11
sotp_decode_cycles - 343 +36+14-2+1+0+2+0-2+0-6+3-1-4-5-2-6-4+1-5+0-4+1+3+5-5-1-3+2-6+15+2+2
hash_f_cycles - 10939 +41+78+120-127-119-48+91-127-99+4-31+79+6-6+11+39-2+3+26-24-9-193+52-1+13+3-55-134+14+10-120-158
hash_g_cycles - 11983 +265+7+47+10-84+20-12-56+16-23+201-89+36-49-12-71+25+4-71-54+23+39+26+8-32+9-12-21-51-34+31+9
hash_h_cycles - 2633 +51-1+28+45+14+0-23+7+1+41+14+12+8+0+5-82+15-13-3+20-1+7-29-28-53+2-22-22-7-2-39-27
poly_mul_small_cycles - 2924 +94+83+2-6+6+14-5+31-29-18+36+3-5+6-11-20-21+15-30-3+1+14+2+33-14-3-13+0+42-2-6+28
poly_mul_general_cycles - 2922 +84+23+47-18+7+47-11-5-18+35-24+35+9-4-5-28+34+10-21-5-18-13-7-8+41-38+39+3+11-33+16+2
