region,block,slot,observation,bank,cycles
0,1,2,22,6,12441
0,1,2,23,7,12329
0,1,2,24,8,12354
0,1,2,25,9,12355
0,1,2,26,10,12362
0,1,2,27,11,12362
0,1,2,28,12,12381
0,1,2,29,13,12315
0,1,2,30,14,12478
0,1,2,31,15,12322
0,1,3,0,0,12294
0,1,3,1,1,12272
0,1,3,2,2,12233
0,1,3,3,3,12196
0,1,3,4,4,12401
0,1,3,5,5,12341
0,1,3,6,6,12486
0,1,3,7,7,12405
0,1,3,8,8,12412
0,1,3,9,9,12349
0,1,3,10,10,12341
0,1,3,11,11,12380
0,1,3,12,12,12398
0,1,3,13,13,12336
0,1,3,14,14,12395
0,1,3,15,15,12403
0,1,3,16,0,12393
0,1,3,17,1,12396
0,1,3,18,2,12437
0,1,3,19,3,12388
0,1,3,20,4,12333
0,1,3,21,5,12342
0,1,3,22,6,12440
0,1,3,23,7,12347
0,1,3,24,8,12306
0,1,3,25,9,12402
0,1,3,26,10,12441
0,1,3,27,11,12429
0,1,3,28,12,12381
0,1,3,29,13,12386
0,1,3,30,14,12438
0,1,3,31,15,12350
0,2,0,0,0,12223
0,2,0,1,1,12331
0,2,0,2,2,12495
0,2,0,3,3,12520
0,2,0,4,4,12413
0,2,0,5,5,12495
0,2,0,6,6,12479
0,2,0,7,7,12466
0,2,0,8,8,12301
0,2,0,9,9,12466
0,2,0,10,10,12419
0,2,0,11,11,12424
0,2,0,12,12,12473
0,2,0,13,13,12441
0,2,0,14,14,12416
0,2,0,15,15,12467
0,2,0,16,0,12476
0,2,0,17,1,12418
0,2,0,18,2,12488
0,2,0,19,3,12543
0,2,0,20,4,12432
0,2,0,21,5,12427
0,2,0,22,6,12479
0,2,0,23,7,12624
0,2,0,24,8,12468
0,2,0,25,9,12502
0,2,0,26,10,12464
0,2,0,27,11,12443
0,2,0,28,12,12493
0,2,0,29,13,12522
0,2,0,30,14,12469
0,2,0,31,15,12396
0,2,1,0,0,12323
0,2,1,1,1,12439
0,2,1,2,2,12472
0,2,1,3,3,12415
0,2,1,4,4,12418
0,2,1,5,5,12229
0,2,1,6,6,12436
0,2,1,7,7,12364
0,2,1,8,8,12430
0,2,1,9,9,12458
0,2,1,10,10,12389
0,2,1,11,11,12411
0,2,1,12,12,12406
0,2,1,13,13,12394
0,2,1,14,14,12409
0,2,1,15,15,12412
