region,block,slot,observation,bank,cycles
0,0,0,0,0,23175
0,0,0,1,1,12477
0,0,0,2,2,12419
0,0,0,3,3,12304
0,0,0,4,4,12487
0,0,0,5,5,12281
0,0,0,6,6,12303
0,0,0,7,7,12508
0,0,0,8,8,12443
0,0,0,9,9,12555
0,0,0,10,10,12290
0,0,0,11,11,12481
0,0,0,12,12,12442
0,0,0,13,13,12468
0,0,0,14,14,12445
0,0,0,15,15,12375
0,0,0,16,0,12234
0,0,0,17,1,12393
0,0,0,18,2,12299
0,0,0,19,3,12373
0,0,0,20,4,12351
0,0,0,21,5,12398
0,0,0,22,6,12390
0,0,0,23,7,12457
0,0,0,24,8,12350
0,0,0,25,9,12352
0,0,0,26,10,12325
0,0,0,27,11,12382
0,0,0,28,12,12476
0,0,0,29,13,12315
0,0,0,30,14,12482
0,0,0,31,15,12482
0,0,1,0,0,12305
0,0,1,1,1,12218
0,0,1,2,2,12276
0,0,1,3,3,12254
0,0,1,4,4,12285
0,0,1,5,5,12272
0,0,1,6,6,12291
0,0,1,7,7,12311
0,0,1,8,8,12319
0,0,1,9,9,12323
0,0,1,10,10,12266
0,0,1,11,11,12316
0,0,1,12,12,12313
0,0,1,13,13,12301
0,0,1,14,14,12269
0,0,1,15,15,12459
0,0,1,16,0,12253
0,0,1,17,1,12320
0,0,1,18,2,12290
0,0,1,19,3,12237
0,0,1,20,4,12281
0,0,1,21,5,12319
0,0,1,22,6,12303
0,0,1,23,7,12274
0,0,1,24,8,12302
0,0,1,25,9,12268
0,0,1,26,10,12365
0,0,1,27,11,12282
0,0,1,28,12,12280
0,0,1,29,13,12275
0,0,1,30,14,12279
0,0,1,31,15,12279
0,0,2,0,0,12222
0,0,2,1,1,12332
0,0,2,2,2,12295
0,0,2,3,3,12282
0,0,2,4,4,12308
0,0,2,5,5,12287
0,0,2,6,6,12393
0,0,2,7,7,12319
0,0,2,8,8,12271
0,0,2,9,9,12295
0,0,2,10,10,12247
0,0,2,11,11,12288
0,0,2,12,12,12296
0,0,2,13,13,12319
0,0,2,14,14,12282
0,0,2,15,15,12316
0,0,2,16,0,12343
0,0,2,17,1,12331
0,0,2,18,2,12292
0,0,2,19,3,12276
0,0,2,20,4,12359
0,0,2,21,5,12280
0,0,2,22,6,12322
0,0,2,23,7,12314
0,0,2,24,8,12387
0,0,2,25,9,12264
0,0,2,26,10,12223
0,0,2,27,11,12292
0,0,2,28,12,12376
0,0,2,29,13,12365
0,0,2,30,14,12355
0,0,2,31,15,12235
0,0,3,0,0,12408
0,0,3,1,1,12344
0,0,3,2,2,12361
0,0,3,3,3,23250
0,0,3,4,4,12400
0,0,3,5,5,12330
0,0,3,6,6,12373
0,0,3,7,7,12355
0,0,3,8,8,12369
0,0,3,9,9,12420
0,0,3,10,10,12412
0,0,3,11,11,12354
0,0,3,12,12,12371
0,0,3,13,13,12355
0,0,3,14,14,12406
0,0,3,15,15,12394
0,0,3,16,0,12340
0,0,3,17,1,12407
0,0,3,18,2,12444
0,0,3,19,3,12344
0,0,3,20,4,12262
0,0,3,21,5,12428
0,0,3,22,6,12308
0,0,3,23,7,12376
0,0,3,24,8,12348
0,0,3,25,9,12321
0,0,3,26,10,12382
0,0,3,27,11,12356
0,0,3,28,12,12388
0,0,3,29,13,12414
0,0,3,30,14,12342
0,0,3,31,15,12338
0,1,0,0,0,12296
0,1,0,1,1,12299
0,1,0,2,2,12340
0,1,0,3,3,12279
0,1,0,4,4,12308
0,1,0,5,5,12282
0,1,0,6,6,12249
0,1,0,7,7,12299
0,1,0,8,8,12227
0,1,0,9,9,12321
0,1,0,10,10,12240
0,1,0,11,11,12282
0,1,0,12,12,12313
0,1,0,13,13,12266
0,1,0,14,14,12335
0,1,0,15,15,12361
0,1,0,16,0,12398
0,1,0,17,1,12276
0,1,0,18,2,12342
0,1,0,19,3,12268
0,1,0,20,4,12377
0,1,0,21,5,12294
0,1,0,22,6,12331
0,1,0,23,7,12288
0,1,0,24,8,12284
0,1,0,25,9,12379
0,1,0,26,10,12359
0,1,0,27,11,12396
0,1,0,28,12,12339
0,1,0,29,13,12327
0,1,0,30,14,12286
0,1,0,31,15,12313
0,1,1,0,0,12405
0,1,1,1,1,12436
0,1,1,2,2,12343
0,1,1,3,3,12450
0,1,1,4,4,12322
0,1,1,5,5,12333
0,1,1,6,6,12395
0,1,1,7,7,12425
0,1,1,8,8,12399
0,1,1,9,9,12348
0,1,1,10,10,12341
0,1,1,11,11,12364
0,1,1,12,12,12336
0,1,1,13,13,12295
0,1,1,14,14,12394
0,1,1,15,15,12481
0,1,1,16,0,12326
0,1,1,17,1,12401
0,1,1,18,2,12327
0,1,1,19,3,12326
0,1,1,20,4,12386
0,1,1,21,5,12415
0,1,1,22,6,12326
0,1,1,23,7,12400
0,1,1,24,8,12347
0,1,1,25,9,12414
0,1,1,26,10,12378
0,1,1,27,11,12359
0,1,1,28,12,12488
0,1,1,29,13,12295
0,1,1,30,14,12437
0,1,1,31,15,12368
0,1,2,0,0,12435
0,1,2,1,1,12493
0,1,2,2,2,12384
0,1,2,3,3,12401
0,1,2,4,4,12392
0,1,2,5,5,12441
0,1,2,6,6,12400
0,1,2,7,7,12369
0,1,2,8,8,12395
0,1,2,9,9,12338
0,1,2,10,10,12324
0,1,2,11,11,12329
0,1,2,12,12,12307
0,1,2,13,13,12342
0,1,2,14,14,12381
0,1,2,15,15,12441
0,1,2,16,0,12307
0,1,2,17,1,12357
0,1,2,18,2,12294
0,1,2,19,3,12483
0,1,2,20,4,12411
0,1,2,21,5,12389
0,1,2,22,6,12442
0,1,2,23,7,12341
0,1,2,24,8,12356
0,1,2,25,9,12388
0,1,2,26,10,12330
0,1,2,27,11,12350
0,1,2,28,12,12317
0,1,2,29,13,12438
0,1,2,30,14,12367
0,1,2,31,15,12392
0,1,3,0,0,12285
0,1,3,1,1,12260
0,1,3,2,2,12355
0,1,3,3,3,12252
0,1,3,4,4,12274
0,1,3,5,5,12273
0,1,3,6,6,12331
0,1,3,7,7,12303
0,1,3,8,8,12330
0,1,3,9,9,12313
0,1,3,10,10,12376
0,1,3,11,11,12278
0,1,3,12,12,12479
0,1,3,13,13,12255
0,1,3,14,14,12310
0,1,3,15,15,12277
0,1,3,16,0,12306
0,1,3,17,1,12224
0,1,3,18,2,12350
0,1,3,19,3,12315
0,1,3,20,4,12264
0,1,3,21,5,12250
0,1,3,22,6,12273
0,1,3,23,7,12310
0,1,3,24,8,12324
0,1,3,25,9,12311
0,1,3,26,10,12283
0,1,3,27,11,12373
0,1,3,28,12,12281
0,1,3,29,13,12390
0,1,3,30,14,12282
0,1,3,31,15,12367
0,2,0,0,0,12362
0,2,0,1,1,12318
0,2,0,2,2,12327
0,2,0,3,3,12398
0,2,0,4,4,12327
0,2,0,5,5,12251
0,2,0,6,6,12361
0,2,0,7,7,12366
0,2,0,8,8,12368
0,2,0,9,9,12363
0,2,0,10,10,12256
0,2,0,11,11,12371
0,2,0,12,12,12408
0,2,0,13,13,12399
0,2,0,14,14,12369
0,2,0,15,15,12409
0,2,0,16,0,12357
0,2,0,17,1,12395
0,2,0,18,2,12369
0,2,0,19,3,12365
0,2,0,20,4,12303
0,2,0,21,5,12355
0,2,0,22,6,12389
0,2,0,23,7,12349
0,2,0,24,8,12394
0,2,0,25,9,12359
0,2,0,26,10,12350
0,2,0,27,11,12425
0,2,0,28,12,12392
0,2,0,29,13,12348
0,2,0,30,14,12430
0,2,0,31,15,12373
0,2,1,0,0,12173
0,2,1,1,1,12439
0,2,1,2,2,12256
0,2,1,3,3,12200
0,2,1,4,4,12295
0,2,1,5,5,12339
0,2,1,6,6,12247
0,2,1,7,7,12326
0,2,1,8,8,12402
0,2,1,9,9,12423
0,2,1,10,10,12312
0,2,1,11,11,12382
0,2,1,12,12,12307
0,2,1,13,13,12402
0,2,1,14,14,12409
0,2,1,15,15,12269
0,2,1,16,0,12298
0,2,1,17,1,12342
0,2,1,18,2,12304
0,2,1,19,3,12316
0,2,1,20,4,12334
0,2,1,21,5,12249
0,2,1,22,6,12280
0,2,1,23,7,12448
0,2,1,24,8,12250
0,2,1,25,9,12328
0,2,1,26,10,12287
0,2,1,27,11,12335
0,2,1,28,12,12282
0,2,1,29,13,12307
0,2,1,30,14,12328
0,2,1,31,15,12310
0,2,2,0,0,12222
0,2,2,1,1,12314
0,2,2,2,2,12293
0,2,2,3,3,12197
0,2,2,4,4,12336
0,2,2,5,5,12289
0,2,2,6,6,12348
0,2,2,7,7,12309
0,2,2,8,8,12345
0,2,2,9,9,12291
0,2,2,10,10,12340
0,2,2,11,11,12330
0,2,2,12,12,12307
0,2,2,13,13,12300
0,2,2,14,14,12319
0,2,2,15,15,12325
0,2,2,16,0,12304
0,2,2,17,1,12366
0,2,2,18,2,12458
0,2,2,19,3,12313
0,2,2,20,4,12361
0,2,2,21,5,12289
0,2,2,22,6,12303
0,2,2,23,7,12298
0,2,2,24,8,12415
0,2,2,25,9,12317
0,2,2,26,10,12259
0,2,2,27,11,12340
0,2,2,28,12,12257
0,2,2,29,13,12291
0,2,2,30,14,12296
0,2,2,31,15,12334
0,2,3,0,0,12359
0,2,3,1,1,12480
0,2,3,2,2,12556
0,2,3,3,3,12503
0,2,3,4,4,12385
0,2,3,5,5,12363
0,2,3,6,6,12492
0,2,3,7,7,12328
0,2,3,8,8,12321
0,2,3,9,9,12342
0,2,3,10,10,12450
0,2,3,11,11,12451
0,2,3,12,12,12397
0,2,3,13,13,12313
0,2,3,14,14,12456
0,2,3,15,15,12364
0,2,3,16,0,12452
0,2,3,17,1,12308
0,2,3,18,2,12380
0,2,3,19,3,12402
0,2,3,20,4,12325
0,2,3,21,5,12370
0,2,3,22,6,12501
0,2,3,23,7,12427
0,2,3,24,8,12341
0,2,3,25,9,12378
0,2,3,26,10,12400
0,2,3,27,11,12494
0,2,3,28,12,12349
0,2,3,29,13,12345
0,2,3,30,14,12441
0,2,3,31,15,12377
0,3,0,0,0,12462
0,3,0,1,1,12348
0,3,0,2,2,12433
0,3,0,3,3,12327
0,3,0,4,4,12369
0,3,0,5,5,12304
0,3,0,6,6,12400
0,3,0,7,7,12300
0,3,0,8,8,12503
0,3,0,9,9,12347
0,3,0,10,10,12298
0,3,0,11,11,12252
0,3,0,12,12,12309
0,3,0,13,13,12280
0,3,0,14,14,12286
0,3,0,15,15,12382
0,3,0,16,0,12410
0,3,0,17,1,12418
0,3,0,18,2,12450
0,3,0,19,3,12310
0,3,0,20,4,12275
0,3,0,21,5,12483
0,3,0,22,6,12307
0,3,0,23,7,12306
0,3,0,24,8,12303
0,3,0,25,9,12465
0,3,0,26,10,12426
0,3,0,27,11,12425
0,3,0,28,12,12403
0,3,0,29,13,12342
0,3,0,30,14,12345
0,3,0,31,15,12336
0,3,1,0,0,12194
0,3,1,1,1,12361
0,3,1,2,2,12485
0,3,1,3,3,12389
0,3,1,4,4,12425
0,3,1,5,5,12371
0,3,1,6,6,12367
0,3,1,7,7,12295
0,3,1,8,8,12388
0,3,1,9,9,12367
