region,block,slot,observation,bank,cycles
0,0,0,0,0,12503
0,0,0,1,1,12518
0,0,0,2,2,12338
0,0,0,3,3,12353
0,0,0,4,4,12325
0,0,0,5,5,12377
0,0,0,6,6,12405
0,0,0,7,7,12473
0,0,0,8,8,12562
0,0,0,9,9,12372
0,0,0,10,10,12371
0,0,0,11,11,12397
0,0,0,12,12,12318
0,0,0,13,13,12389
0,0,0,14,14,12405
0,0,0,15,15,12396
0,0,0,16,0,12410
0,0,0,17,1,12379
0,0,0,18,2,12467
0,0,0,19,3,12432
0,0,0,20,4,12979
0,0,0,21,5,12438
0,0,0,22,6,12389
0,0,0,23,7,12455
0,0,0,24,8,12471
0,0,0,25,9,12450
0,0,0,26,10,12438
0,0,0,27,11,12503
0,0,0,28,12,12447
0,0,0,29,13,12469
0,0,0,30,14,12440
0,0,0,31,15,12501
0,0,1,0,0,12828
0,0,1,1,1,12352
0,0,1,2,2,12285
0,0,1,3,3,12435
0,0,1,4,4,12326
0,0,1,5,5,12420
0,0,1,6,6,12444
0,0,1,7,7,12385
0,0,1,8,8,12401
0,0,1,9,9,12305
0,0,1,10,10,12392
0,0,1,11,11,12410
0,0,1,12,12,12530
0,0,1,13,13,12480
0,0,1,14,14,12397
0,0,1,15,15,12359
0,0,1,16,0,12429
0,0,1,17,1,12358
0,0,1,18,2,12284
0,0,1,19,3,12335
0,0,1,20,4,12444
0,0,1,21,5,12430
0,0,1,22,6,12399
0,0,1,23,7,12424
0,0,1,24,8,12474
0,0,1,25,9,12355
0,0,1,26,10,12445
0,0,1,27,11,12459
0,0,1,28,12,12749
0,0,1,29,13,12335
0,0,1,30,14,12355
0,0,1,31,15,12401
0,0,2,0,0,12415
0,0,2,1,1,12306
0,0,2,2,2,12749
0,0,2,3,3,12948
0,0,2,4,4,12855
0,0,2,5,5,12916
0,0,2,6,6,13397
0,0,2,7,7,12397
0,0,2,8,8,12381
0,0,2,9,9,13155
0,0,2,10,10,12257
0,0,2,11,11,12497
0,0,2,12,12,12408
0,0,2,13,13,12413
0,0,2,14,14,12429
0,0,2,15,15,12406
0,0,2,16,0,12399
0,0,2,17,1,12334
0,0,2,18,2,12332
0,0,2,19,3,12419
0,0,2,20,4,12419
0,0,2,21,5,12410
0,0,2,22,6,12492
0,0,2,23,7,12392
0,0,2,24,8,12406
0,0,2,25,9,12405
0,0,2,26,10,12360
0,0,2,27,11,12461
0,0,2,28,12,12440
0,0,2,29,13,12334
0,0,2,30,14,12338
0,0,2,31,15,12390
0,0,3,0,0,12489
0,0,3,1,1,12471
0,0,3,2,2,12464
0,0,3,3,3,12468
0,0,3,4,4,12509
0,0,3,5,5,12424
0,0,3,6,6,12421
0,0,3,7,7,12446
0,0,3,8,8,12419
0,0,3,9,9,12459
0,0,3,10,10,12466
0,0,3,11,11,12453
0,0,3,12,12,12468
0,0,3,13,13,12482
0,0,3,14,14,12553
0,0,3,15,15,12443
0,0,3,16,0,12418
0,0,3,17,1,12460
0,0,3,18,2,12328
0,0,3,19,3,12365
0,0,3,20,4,12431
0,0,3,21,5,12543
0,0,3,22,6,12460
0,0,3,23,7,12507
0,0,3,24,8,12442
0,0,3,25,9,12503
0,0,3,26,10,12434
0,0,3,27,11,12458
0,0,3,28,12,12370
0,0,3,29,13,12540
0,0,3,30,14,12477
0,0,3,31,15,12486
0,1,0,0,0,12403
0,1,0,1,1,12369
0,1,0,2,2,12339
0,1,0,3,3,12459
0,1,0,4,4,12401
0,1,0,5,5,12346
0,1,0,6,6,12379
0,1,0,7,7,12438
0,1,0,8,8,12452
0,1,0,9,9,12369
0,1,0,10,10,12386
0,1,0,11,11,12359
0,1,0,12,12,12431
0,1,0,13,13,12430
0,1,0,14,14,12423
0,1,0,15,15,12442
0,1,0,16,0,12453
0,1,0,17,1,12296
0,1,0,18,2,12426
0,1,0,19,3,12352
0,1,0,20,4,12397
0,1,0,21,5,12489
0,1,0,22,6,12396
0,1,0,23,7,12376
0,1,0,24,8,12359
0,1,0,25,9,12878
0,1,0,26,10,12262
0,1,0,27,11,12537
0,1,0,28,12,12425
0,1,0,29,13,12293
0,1,0,30,14,12397
0,1,0,31,15,12442
0,1,1,0,0,12559
0,1,1,1,1,12520
0,1,1,2,2,12434
0,1,1,3,3,12501
0,1,1,4,4,12519
0,1,1,5,5,12468
0,1,1,6,6,12811
0,1,1,7,7,12332
0,1,1,8,8,12436
0,1,1,9,9,12384
0,1,1,10,10,12362
0,1,1,11,11,12460
0,1,1,12,12,12386
0,1,1,13,13,12544
0,1,1,14,14,12411
0,1,1,15,15,12433
0,1,1,16,0,12439
0,1,1,17,1,12381
0,1,1,18,2,12379
0,1,1,19,3,12333
0,1,1,20,4,12397
0,1,1,21,5,12404
0,1,1,22,6,12434
0,1,1,23,7,12330
0,1,1,24,8,12383
