parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
1152,reversed-aslr-on,keypair_cycles,-664.5798611111117,-893.1979166666715,-999.5321180555553,-325.687934027778,35,48,candidate-faster
1152,reversed-aslr-on,enc_cycles,-318.5928819444454,-365.5416666666679,-400.7313368055543,-225.7539062500006,44,48,candidate-faster
1152,reversed-aslr-on,dec_cycles,-267.1349826388887,-259.36458333333394,-301.44531249999994,-234.2877604166662,46,48,candidate-faster
