phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
dft3_output_pack,0,0,0,v4,2,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,264,136,8,66,34,2,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v4,3,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,12,268,140,3,67,35,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v4,4,-1,-1,-1,-1,-1,4,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,144,16,272,36,4,68,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v4,5,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,276,148,20,69,37,5,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v4,6,-1,-1,-1,-1,-1,6,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,24,280,152,6,70,38,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v4,7,-1,-1,-1,-1,-1,7,0,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,156,28,284,39,7,71,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,0,256,128,0,64,32,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,132,4,260,33,1,65,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,2,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,264,136,8,66,34,2,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,3,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,12,268,140,3,67,35,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,4,-1,-1,-1,-1,-1,4,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,144,16,272,36,4,68,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,5,-1,-1,-1,-1,-1,5,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,276,148,20,69,37,5,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,6,-1,-1,-1,-1,-1,6,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,24,280,152,6,70,38,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v5,7,-1,-1,-1,-1,-1,7,1,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,156,28,284,39,7,71,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,0,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,0,256,128,0,64,32,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,132,4,260,33,1,65,linear_combination_of_three_input_crt_sources
