branch,base_F,block_k,position_start,position_end,lane_count,exponent,twist_table,twist_index,twist_mont,twist_normal,operation,expanded_positions,notes
0,2,31,124,127,4,-31,twist_branch0,31,-1364,315,r[124..127]=r[124..127]*2^(-31),r[124]|r[125]|r[126]|r[127],same_twist_for_four_quartic_lanes
0,2,32,128,131,4,-32,twist_branch0,32,-682,1886,r[128..131]=r[128..131]*2^(-32),r[128]|r[129]|r[130]|r[131],same_twist_for_four_quartic_lanes
0,2,33,132,135,4,-33,twist_branch0,33,-341,943,r[132..135]=r[132..135]*2^(-33),r[132]|r[133]|r[134]|r[135],same_twist_for_four_quartic_lanes
0,2,34,136,139,4,-34,twist_branch0,34,1558,2200,r[136..139]=r[136..139]*2^(-34),r[136]|r[137]|r[138]|r[139],same_twist_for_four_quartic_lanes
0,2,35,140,143,4,-35,twist_branch0,35,779,1100,r[140..143]=r[140..143]*2^(-35),r[140]|r[141]|r[142]|r[143],same_twist_for_four_quartic_lanes
0,2,36,144,147,4,-36,twist_branch0,36,-1339,550,r[144..147]=r[144..147]*2^(-36),r[144]|r[145]|r[146]|r[147],same_twist_for_four_quartic_lanes
0,2,37,148,151,4,-37,twist_branch0,37,1059,275,r[148..151]=r[148..151]*2^(-37),r[148]|r[149]|r[150]|r[151],same_twist_for_four_quartic_lanes
0,2,38,152,155,4,-38,twist_branch0,38,-1199,1866,r[152..155]=r[152..155]*2^(-38),r[152]|r[153]|r[154]|r[155],same_twist_for_four_quartic_lanes
0,2,39,156,159,4,-39,twist_branch0,39,1129,933,r[156..159]=r[156..159]*2^(-39),r[156]|r[157]|r[158]|r[159],same_twist_for_four_quartic_lanes
0,2,40,160,163,4,-40,twist_branch0,40,-1164,2195,r[160..163]=r[160..163]*2^(-40),r[160]|r[161]|r[162]|r[163],same_twist_for_four_quartic_lanes
0,2,41,164,167,4,-41,twist_branch0,41,-582,2826,r[164..167]=r[164..167]*2^(-41),r[164]|r[165]|r[166]|r[167],same_twist_for_four_quartic_lanes
0,2,42,168,171,4,-42,twist_branch0,42,-291,1413,r[168..171]=r[168..171]*2^(-42),r[168]|r[169]|r[170]|r[171],same_twist_for_four_quartic_lanes
0,2,43,172,175,4,-43,twist_branch0,43,1583,2435,r[172..175]=r[172..175]*2^(-43),r[172]|r[173]|r[174]|r[175],same_twist_for_four_quartic_lanes
0,2,44,176,179,4,-44,twist_branch0,44,-937,2946,r[176..179]=r[176..179]*2^(-44),r[176]|r[177]|r[178]|r[179],same_twist_for_four_quartic_lanes
0,2,45,180,183,4,-45,twist_branch0,45,1260,1473,r[180..183]=r[180..183]*2^(-45),r[180]|r[181]|r[182]|r[183],same_twist_for_four_quartic_lanes
0,2,46,184,187,4,-46,twist_branch0,46,630,2465,r[184..187]=r[184..187]*2^(-46),r[184]|r[185]|r[186]|r[187],same_twist_for_four_quartic_lanes
0,2,47,188,191,4,-47,twist_branch0,47,315,2961,r[188..191]=r[188..191]*2^(-47),r[188]|r[189]|r[190]|r[191],same_twist_for_four_quartic_lanes
0,2,48,192,195,4,-48,twist_branch0,48,-1571,3209,r[192..195]=r[192..195]*2^(-48),r[192]|r[193]|r[194]|r[195],same_twist_for_four_quartic_lanes
0,2,49,196,199,4,-49,twist_branch0,49,943,3333,r[196..199]=r[196..199]*2^(-49),r[196]|r[197]|r[198]|r[199],same_twist_for_four_quartic_lanes
0,2,50,200,203,4,-50,twist_branch0,50,-1257,3395,r[200..203]=r[200..203]*2^(-50),r[200]|r[201]|r[202]|r[203],same_twist_for_four_quartic_lanes
0,2,51,204,207,4,-51,twist_branch0,51,1100,3426,r[204..207]=r[204..207]*2^(-51),r[204]|r[205]|r[206]|r[207],same_twist_for_four_quartic_lanes
0,2,52,208,211,4,-52,twist_branch0,52,550,1713,r[208..211]=r[208..211]*2^(-52),r[208]|r[209]|r[210]|r[211],same_twist_for_four_quartic_lanes
0,2,53,212,215,4,-53,twist_branch0,53,275,2585,r[212..215]=r[212..215]*2^(-53),r[212]|r[213]|r[214]|r[215],same_twist_for_four_quartic_lanes
0,2,54,216,219,4,-54,twist_branch0,54,-1591,3021,r[216..219]=r[216..219]*2^(-54),r[216]|r[217]|r[218]|r[219],same_twist_for_four_quartic_lanes
0,2,55,220,223,4,-55,twist_branch0,55,933,3239,r[220..223]=r[220..223]*2^(-55),r[220]|r[221]|r[222]|r[223],same_twist_for_four_quartic_lanes
0,2,56,224,227,4,-56,twist_branch0,56,-1262,3348,r[224..227]=r[224..227]*2^(-56),r[224]|r[225]|r[226]|r[227],same_twist_for_four_quartic_lanes
0,2,57,228,231,4,-57,twist_branch0,57,-631,1674,r[228..231]=r[228..231]*2^(-57),r[228]|r[229]|r[230]|r[231],same_twist_for_four_quartic_lanes
0,2,58,232,235,4,-58,twist_branch0,58,1413,837,r[232..235]=r[232..235]*2^(-58),r[232]|r[233]|r[234]|r[235],same_twist_for_four_quartic_lanes
0,2,59,236,239,4,-59,twist_branch0,59,-1022,2147,r[236..239]=r[236..239]*2^(-59),r[236]|r[237]|r[238]|r[239],same_twist_for_four_quartic_lanes
0,2,60,240,243,4,-60,twist_branch0,60,-511,2802,r[240..243]=r[240..243]*2^(-60),r[240]|r[241]|r[242]|r[243],same_twist_for_four_quartic_lanes
0,2,61,244,247,4,-61,twist_branch0,61,1473,1401,r[244..247]=r[244..247]*2^(-61),r[244]|r[245]|r[246]|r[247],same_twist_for_four_quartic_lanes
0,2,62,248,251,4,-62,twist_branch0,62,-992,2429,r[248..251]=r[248..251]*2^(-62),r[248]|r[249]|r[250]|r[251],same_twist_for_four_quartic_lanes
0,2,63,252,255,4,-63,twist_branch0,63,-496,2943,r[252..255]=r[252..255]*2^(-63),r[252]|r[253]|r[254]|r[255],same_twist_for_four_quartic_lanes
0,2,64,256,259,4,-64,twist_branch0,64,-248,3200,r[256..259]=r[256..259]*2^(-64),r[256]|r[257]|r[258]|r[259],same_twist_for_four_quartic_lanes
0,2,65,260,263,4,-65,twist_branch0,65,-124,1600,r[260..263]=r[260..263]*2^(-65),r[260]|r[261]|r[262]|r[263],same_twist_for_four_quartic_lanes
0,2,66,264,267,4,-66,twist_branch0,66,-62,800,r[264..267]=r[264..267]*2^(-66),r[264]|r[265]|r[266]|r[267],same_twist_for_four_quartic_lanes
0,2,67,268,271,4,-67,twist_branch0,67,-31,400,r[268..271]=r[268..271]*2^(-67),r[268]|r[269]|r[270]|r[271],same_twist_for_four_quartic_lanes
0,2,68,272,275,4,-68,twist_branch0,68,1713,200,r[272..275]=r[272..275]*2^(-68),r[272]|r[273]|r[274]|r[275],same_twist_for_four_quartic_lanes
0,2,69,276,279,4,-69,twist_branch0,69,-872,100,r[276..279]=r[276..279]*2^(-69),r[276]|r[277]|r[278]|r[279],same_twist_for_four_quartic_lanes
0,2,70,280,283,4,-70,twist_branch0,70,-436,50,r[280..283]=r[280..283]*2^(-70),r[280]|r[281]|r[282]|r[283],same_twist_for_four_quartic_lanes
0,2,71,284,287,4,-71,twist_branch0,71,-218,25,r[284..287]=r[284..287]*2^(-71),r[284]|r[285]|r[286]|r[287],same_twist_for_four_quartic_lanes
0,2,72,288,291,4,-72,twist_branch0,72,-109,1741,r[288..291]=r[288..291]*2^(-72),r[288]|r[289]|r[290]|r[291],same_twist_for_four_quartic_lanes
0,2,73,292,295,4,-73,twist_branch0,73,1674,2599,r[292..295]=r[292..295]*2^(-73),r[292]|r[293]|r[294]|r[295],same_twist_for_four_quartic_lanes
0,2,74,296,299,4,-74,twist_branch0,74,837,3028,r[296..299]=r[296..299]*2^(-74),r[296]|r[297]|r[298]|r[299],same_twist_for_four_quartic_lanes
0,2,75,300,303,4,-75,twist_branch0,75,-1310,1514,r[300..303]=r[300..303]*2^(-75),r[300]|r[301]|r[302]|r[303],same_twist_for_four_quartic_lanes
0,2,76,304,307,4,-76,twist_branch0,76,-655,757,r[304..307]=r[304..307]*2^(-76),r[304]|r[305]|r[306]|r[307],same_twist_for_four_quartic_lanes
0,2,77,308,311,4,-77,twist_branch0,77,1401,2107,r[308..311]=r[308..311]*2^(-77),r[308]|r[309]|r[310]|r[311],same_twist_for_four_quartic_lanes
0,2,78,312,315,4,-78,twist_branch0,78,-1028,2782,r[312..315]=r[312..315]*2^(-78),r[312]|r[313]|r[314]|r[315],same_twist_for_four_quartic_lanes
0,2,79,316,319,4,-79,twist_branch0,79,-514,1391,r[316..319]=r[316..319]*2^(-79),r[316]|r[317]|r[318]|r[319],same_twist_for_four_quartic_lanes
0,2,80,320,323,4,-80,twist_branch0,80,-257,2424,r[320..323]=r[320..323]*2^(-80),r[320]|r[321]|r[322]|r[323],same_twist_for_four_quartic_lanes
0,2,81,324,327,4,-81,twist_branch0,81,1600,1212,r[324..327]=r[324..327]*2^(-81),r[324]|r[325]|r[326]|r[327],same_twist_for_four_quartic_lanes
0,2,82,328,331,4,-82,twist_branch0,82,800,606,r[328..331]=r[328..331]*2^(-82),r[328]|r[329]|r[330]|r[331],same_twist_for_four_quartic_lanes
0,2,83,332,335,4,-83,twist_branch0,83,400,303,r[332..335]=r[332..335]*2^(-83),r[332]|r[333]|r[334]|r[335],same_twist_for_four_quartic_lanes
0,2,84,336,339,4,-84,twist_branch0,84,200,1880,r[336..339]=r[336..339]*2^(-84),r[336]|r[337]|r[338]|r[339],same_twist_for_four_quartic_lanes
0,2,85,340,343,4,-85,twist_branch0,85,100,940,r[340..343]=r[340..343]*2^(-85),r[340]|r[341]|r[342]|r[343],same_twist_for_four_quartic_lanes
0,2,86,344,347,4,-86,twist_branch0,86,50,470,r[344..347]=r[344..347]*2^(-86),r[344]|r[345]|r[346]|r[347],same_twist_for_four_quartic_lanes
0,2,87,348,351,4,-87,twist_branch0,87,25,235,r[348..351]=r[348..351]*2^(-87),r[348]|r[349]|r[350]|r[351],same_twist_for_four_quartic_lanes
0,2,88,352,355,4,-88,twist_branch0,88,-1716,1846,r[352..355]=r[352..355]*2^(-88),r[352]|r[353]|r[354]|r[355],same_twist_for_four_quartic_lanes
0,2,89,356,359,4,-89,twist_branch0,89,-858,923,r[356..359]=r[356..359]*2^(-89),r[356]|r[357]|r[358]|r[359],same_twist_for_four_quartic_lanes
0,2,90,360,363,4,-90,twist_branch0,90,-429,2190,r[360..363]=r[360..363]*2^(-90),r[360]|r[361]|r[362]|r[363],same_twist_for_four_quartic_lanes
0,2,91,364,367,4,-91,twist_branch0,91,1514,1095,r[364..367]=r[364..367]*2^(-91),r[364]|r[365]|r[366]|r[367],same_twist_for_four_quartic_lanes
0,2,92,368,371,4,-92,twist_branch0,92,757,2276,r[368..371]=r[368..371]*2^(-92),r[368]|r[369]|r[370]|r[371],same_twist_for_four_quartic_lanes
0,2,93,372,375,4,-93,twist_branch0,93,-1350,1138,r[372..375]=r[372..375]*2^(-93),r[372]|r[373]|r[374]|r[375],same_twist_for_four_quartic_lanes
0,2,94,376,379,4,-94,twist_branch0,94,-675,569,r[376..379]=r[376..379]*2^(-94),r[376]|r[377]|r[378]|r[379],same_twist_for_four_quartic_lanes
0,2,95,380,383,4,-95,twist_branch0,95,1391,2013,r[380..383]=r[380..383]*2^(-95),r[380]|r[381]|r[382]|r[383],same_twist_for_four_quartic_lanes
1,22,0,384,387,4,-0,twist_branch1,0,-147,1,r[384..387]=r[384..387]*22^(-0),r[384]|r[385]|r[386]|r[387],same_twist_for_four_quartic_lanes
1,22,1,388,391,4,-1,twist_branch1,1,779,1100,r[388..391]=r[388..391]*22^(-1),r[388]|r[389]|r[390]|r[391],same_twist_for_four_quartic_lanes
1,22,2,392,395,4,-2,twist_branch1,2,-436,50,r[392..395]=r[392..395]*22^(-2),r[392]|r[393]|r[394]|r[395],same_twist_for_four_quartic_lanes
1,22,3,396,399,4,-3,twist_branch1,3,923,3145,r[396..399]=r[396..399]*22^(-3),r[396]|r[397]|r[398]|r[399],same_twist_for_four_quartic_lanes
1,22,4,400,403,4,-4,twist_branch1,4,-1058,2500,r[400..403]=r[400..403]*22^(-4),r[400]|r[401]|r[402]|r[403],same_twist_for_four_quartic_lanes
1,22,5,404,407,4,-5,twist_branch1,5,1209,1685,r[404..407]=r[404..407]*22^(-5),r[404]|r[405]|r[406]|r[407],same_twist_for_four_quartic_lanes
1,22,6,408,411,4,-6,twist_branch1,6,-1045,548,r[408..411]=r[408..411]*22^(-6),r[408]|r[409]|r[410]|r[411],same_twist_for_four_quartic_lanes
1,22,7,412,415,4,-7,twist_branch1,7,1681,1282,r[412..415]=r[412..415]*22^(-7),r[412]|r[413]|r[414]|r[415],same_twist_for_four_quartic_lanes
1,22,8,416,419,4,-8,twist_branch1,8,-395,3201,r[416..419]=r[416..419]*22^(-8),r[416]|r[417]|r[418]|r[419],same_twist_for_four_quartic_lanes
1,22,9,420,423,4,-9,twist_branch1,9,1082,1874,r[420..423]=r[420..423]*22^(-9),r[420]|r[421]|r[422]|r[423],same_twist_for_four_quartic_lanes
1,22,10,424,427,4,-10,twist_branch1,10,992,1028,r[424..427]=r[424..427]*22^(-10),r[424]|r[425]|r[426]|r[427],same_twist_for_four_quartic_lanes
1,22,11,428,431,4,-11,twist_branch1,11,-1212,361,r[428..431]=r[428..431]*22^(-11),r[428]|r[429]|r[430]|r[431],same_twist_for_four_quartic_lanes
1,22,12,432,435,4,-12,twist_branch1,12,1202,3002,r[432..435]=r[432..435]*22^(-12),r[432]|r[433]|r[434]|r[435],same_twist_for_four_quartic_lanes
1,22,13,436,439,4,-13,twist_branch1,13,1626,765,r[436..439]=r[436..439]*22^(-13),r[436]|r[437]|r[438]|r[439],same_twist_for_four_quartic_lanes
1,22,14,440,443,4,-14,twist_branch1,14,1331,1449,r[440..443]=r[440..443]*22^(-14),r[440]|r[441]|r[442]|r[443],same_twist_for_four_quartic_lanes
1,22,15,444,447,4,-15,twist_branch1,15,-1668,223,r[444..447]=r[444..447]*22^(-15),r[444]|r[445]|r[446]|r[447],same_twist_for_four_quartic_lanes
1,22,16,448,451,4,-16,twist_branch1,16,867,3310,r[448..451]=r[448..451]*22^(-16),r[448]|r[449]|r[450]|r[451],same_twist_for_four_quartic_lanes
1,22,17,452,455,4,-17,twist_branch1,17,-432,779,r[452..455]=r[452..455]*22^(-17),r[452]|r[453]|r[454]|r[455],same_twist_for_four_quartic_lanes
1,22,18,456,459,4,-18,twist_branch1,18,-1591,3021,r[456..459]=r[456..459]*22^(-18),r[456]|r[457]|r[458]|r[459],same_twist_for_four_quartic_lanes
1,22,19,460,463,4,-19,twist_branch1,19,-858,923,r[460..463]=r[460..463]*22^(-19),r[460]|r[461]|r[462]|r[463],same_twist_for_four_quartic_lanes
1,22,20,464,467,4,-20,twist_branch1,20,-39,2399,r[464..467]=r[464..467]*22^(-20),r[464]|r[465]|r[466]|r[467],same_twist_for_four_quartic_lanes
1,22,21,468,471,4,-21,twist_branch1,21,-1416,1209,r[468..471]=r[468..471]*22^(-21),r[468]|r[469]|r[470]|r[471],same_twist_for_four_quartic_lanes
1,22,22,472,475,4,-22,twist_branch1,22,1507,2412,r[472..475]=r[472..475]*22^(-22),r[472]|r[473]|r[474]|r[475],same_twist_for_four_quartic_lanes
