input_crt_n3,input_crt_n32,gt_in_index,output_k3,dft_twiddle_exp,dft_twiddle_mont,dft_twiddle_normal
2,22,86,2,1,-886,2734
0,23,87,0,0,-147,1
0,23,87,1,0,-147,1
0,23,87,2,0,-147,1
1,23,55,0,0,-147,1
1,23,55,1,1,-886,2734
1,23,55,2,2,1033,722
2,23,23,0,0,-147,1
2,23,23,1,2,1033,722
2,23,23,2,1,-886,2734
0,24,24,0,0,-147,1
0,24,24,1,0,-147,1
0,24,24,2,0,-147,1
1,24,88,0,0,-147,1
1,24,88,1,1,-886,2734
1,24,88,2,2,1033,722
2,24,56,0,0,-147,1
2,24,56,1,2,1033,722
2,24,56,2,1,-886,2734
0,25,57,0,0,-147,1
0,25,57,1,0,-147,1
0,25,57,2,0,-147,1
1,25,25,0,0,-147,1
1,25,25,1,1,-886,2734
1,25,25,2,2,1033,722
2,25,89,0,0,-147,1
2,25,89,1,2,1033,722
2,25,89,2,1,-886,2734
0,26,90,0,0,-147,1
0,26,90,1,0,-147,1
0,26,90,2,0,-147,1
1,26,58,0,0,-147,1
1,26,58,1,1,-886,2734
1,26,58,2,2,1033,722
2,26,26,0,0,-147,1
2,26,26,1,2,1033,722
2,26,26,2,1,-886,2734
0,27,27,0,0,-147,1
0,27,27,1,0,-147,1
0,27,27,2,0,-147,1
1,27,91,0,0,-147,1
1,27,91,1,1,-886,2734
1,27,91,2,2,1033,722
2,27,59,0,0,-147,1
2,27,59,1,2,1033,722
2,27,59,2,1,-886,2734
0,28,60,0,0,-147,1
0,28,60,1,0,-147,1
0,28,60,2,0,-147,1
1,28,28,0,0,-147,1
1,28,28,1,1,-886,2734
1,28,28,2,2,1033,722
2,28,92,0,0,-147,1
2,28,92,1,2,1033,722
2,28,92,2,1,-886,2734
0,29,93,0,0,-147,1
0,29,93,1,0,-147,1
0,29,93,2,0,-147,1
1,29,61,0,0,-147,1
1,29,61,1,1,-886,2734
1,29,61,2,2,1033,722
2,29,29,0,0,-147,1
2,29,29,1,2,1033,722
2,29,29,2,1,-886,2734
0,30,30,0,0,-147,1
0,30,30,1,0,-147,1
0,30,30,2,0,-147,1
1,30,94,0,0,-147,1
1,30,94,1,1,-886,2734
1,30,94,2,2,1033,722
2,30,62,0,0,-147,1
2,30,62,1,2,1033,722
2,30,62,2,1,-886,2734
0,31,63,0,0,-147,1
0,31,63,1,0,-147,1
0,31,63,2,0,-147,1
1,31,31,0,0,-147,1
1,31,31,1,1,-886,2734
1,31,31,2,2,1033,722
2,31,95,0,0,-147,1
2,31,95,1,2,1033,722
2,31,95,2,1,-886,2734
