branch,k3,pair,pair_role,physical_j,paired_physical_j,position_start,position_end,k32_pre_len2,logical_k32_after_len2,logical_j_after_len2,lambda_table,lambda_mont,lambda_normal,asm_zeta_vector_index,asm_zeta_vector_lane,operation,notes
0,0,14,plus,84,87,336,339,28,7,21,gt_rowbitrev_lambda[0][84],-277,2236,10,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,14,minus,87,84,348,351,29,23,69,gt_rowbitrev_lambda[0][87],277,1221,10,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,15,plus,90,93,360,363,30,15,45,gt_rowbitrev_lambda[0][90],-933,218,11,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,15,minus,93,90,372,375,31,31,93,gt_rowbitrev_lambda[0][93],933,3239,11,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,0,plus,32,35,128,131,0,0,32,gt_rowbitrev_lambda[0][32],-443,1367,4,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,0,minus,35,32,140,143,1,16,80,gt_rowbitrev_lambda[0][35],443,2090,4,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,1,plus,38,41,152,155,2,8,56,gt_rowbitrev_lambda[0][38],-943,124,4,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,1,minus,41,38,164,167,3,24,8,gt_rowbitrev_lambda[0][41],943,3333,5,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,2,plus,44,47,176,179,4,4,44,gt_rowbitrev_lambda[0][44],352,1926,5,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,2,minus,47,44,188,191,5,20,92,gt_rowbitrev_lambda[0][47],-352,1531,5,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,3,plus,50,53,200,203,6,12,68,gt_rowbitrev_lambda[0][50],-312,1907,6,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,3,minus,53,50,212,215,7,28,20,gt_rowbitrev_lambda[0][53],312,1550,6,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,4,plus,56,59,224,227,8,2,38,gt_rowbitrev_lambda[0][56],100,940,7,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,4,minus,59,56,236,239,9,18,86,gt_rowbitrev_lambda[0][59],-100,2517,7,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,5,plus,62,65,248,251,10,10,62,gt_rowbitrev_lambda[0][62],-1660,1681,7,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,5,minus,65,62,260,263,11,26,14,gt_rowbitrev_lambda[0][65],1660,1776,8,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,6,plus,68,71,272,275,12,6,50,gt_rowbitrev_lambda[0][68],-1250,2078,8,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,6,minus,71,68,284,287,13,22,2,gt_rowbitrev_lambda[0][71],1250,1379,8,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,7,plus,74,77,296,299,14,14,74,gt_rowbitrev_lambda[0][74],8,1458,9,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,7,minus,77,74,308,311,15,30,26,gt_rowbitrev_lambda[0][77],-8,1999,9,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,8,plus,80,83,320,323,16,1,35,gt_rowbitrev_lambda[0][80],1341,1543,10,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,8,minus,83,80,332,335,17,17,83,gt_rowbitrev_lambda[0][83],-1341,1914,10,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,9,plus,86,89,344,347,18,9,59,gt_rowbitrev_lambda[0][86],1247,3425,10,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,9,minus,89,86,356,359,19,25,11,gt_rowbitrev_lambda[0][89],-1247,32,11,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,10,plus,92,95,368,371,20,5,47,gt_rowbitrev_lambda[0][92],-1206,3183,11,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,10,minus,95,92,380,383,21,21,95,gt_rowbitrev_lambda[0][95],1206,274,11,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,11,plus,2,5,8,11,22,13,71,gt_rowbitrev_lambda[0][2],-31,400,0,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,11,minus,5,2,20,23,23,29,23,gt_rowbitrev_lambda[0][5],31,3057,0,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,12,plus,8,11,32,35,24,3,41,gt_rowbitrev_lambda[0][8],-1364,315,1,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,12,minus,11,8,44,47,25,19,89,gt_rowbitrev_lambda[0][11],1364,3142,1,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,13,plus,14,17,56,59,26,11,65,gt_rowbitrev_lambda[0][14],1209,1685,1,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,13,minus,17,14,68,71,27,27,17,gt_rowbitrev_lambda[0][17],-1209,1772,2,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,14,plus,20,23,80,83,28,7,53,gt_rowbitrev_lambda[0][20],-235,1248,2,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,14,minus,23,20,92,95,29,23,5,gt_rowbitrev_lambda[0][23],235,2209,2,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,15,plus,26,29,104,107,30,15,77,gt_rowbitrev_lambda[0][26],444,1408,3,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,1,15,minus,29,26,116,119,31,31,29,gt_rowbitrev_lambda[0][29],-444,2049,3,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,0,plus,64,67,256,259,0,0,64,gt_rowbitrev_lambda[0][64],-1212,361,8,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,0,minus,67,64,268,271,1,16,16,gt_rowbitrev_lambda[0][67],1212,3096,8,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,1,plus,70,73,280,283,2,8,88,gt_rowbitrev_lambda[0][70],760,230,8,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,1,minus,73,70,292,295,3,24,40,gt_rowbitrev_lambda[0][73],-760,3227,9,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
