parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
864,reversed-aslr-on,keypair_cycles,-908.8094618055549,-886.5104166666642,-939.88845486111,-882.8116319444442,48,48,candidate-faster
864,reversed-aslr-on,enc_cycles,-737.4691840277779,-771.46875,-780.584635416667,-682.5976562499997,47,48,candidate-faster
864,reversed-aslr-on,dec_cycles,-1395.8901909722217,-1390.6562499999982,-1438.536024305555,-1355.6901041666663,48,48,candidate-faster
