region,variant,block,slot,cycles
0,0,0,0,2864
0,1,0,1,1651
0,2,0,2,920
0,3,0,3,977
0,3,0,4,925
0,2,0,5,983
0,1,0,6,911
0,0,0,7,921
0,3,1,0,920
0,2,1,1,906
0,1,1,2,906
0,0,1,3,908
0,0,1,4,896
0,1,1,5,909
0,2,1,6,919
0,3,1,7,881
0,0,2,0,909
0,1,2,1,903
0,2,2,2,911
0,3,2,3,882
0,3,2,4,895
0,2,2,5,911
0,1,2,6,919
0,0,2,7,882
0,3,3,0,890
0,2,3,1,932
0,1,3,2,908
0,0,3,3,904
0,0,3,4,906
0,1,3,5,901
0,2,3,6,889
0,3,3,7,888
0,0,4,0,923
0,1,4,1,943
0,2,4,2,905
0,3,4,3,911
0,3,4,4,880
0,2,4,5,910
0,1,4,6,888
0,0,4,7,915
0,3,5,0,890
0,2,5,1,885
0,1,5,2,908
0,0,5,3,888
0,0,5,4,888
0,1,5,5,895
0,2,5,6,906
0,3,5,7,903
0,0,6,0,906
0,1,6,1,884
0,2,6,2,927
0,3,6,3,872
0,3,6,4,897
0,2,6,5,894
0,1,6,6,907
0,0,6,7,915
0,3,7,0,864
0,2,7,1,925
0,1,7,2,932
0,0,7,3,886
0,0,7,4,895
0,1,7,5,914
0,2,7,6,907
0,3,7,7,909
0,0,8,0,900
0,1,8,1,911
0,2,8,2,944
0,3,8,3,894
0,3,8,4,896
0,2,8,5,892
0,1,8,6,915
0,0,8,7,891
0,3,9,0,901
0,2,9,1,906
0,1,9,2,890
0,0,9,3,898
0,0,9,4,892
0,1,9,5,901
0,2,9,6,931
0,3,9,7,932
0,0,10,0,910
0,1,10,1,926
0,2,10,2,922
0,3,10,3,903
0,3,10,4,896
0,2,10,5,911
0,1,10,6,940
0,0,10,7,887
0,3,11,0,899
0,2,11,1,905
0,1,11,2,933
0,0,11,3,889
0,0,11,4,909
0,1,11,5,926
0,2,11,6,910
0,3,11,7,897
0,0,12,0,891
0,1,12,1,899
0,2,12,2,903
0,3,12,3,896
0,3,12,4,915
0,2,12,5,900
0,1,12,6,899
0,0,12,7,904
0,3,13,0,887
0,2,13,1,916
0,1,13,2,894
0,0,13,3,883
0,0,13,4,868
0,1,13,5,906
0,2,13,6,919
0,3,13,7,895
0,0,14,0,895
0,1,14,1,897
0,2,14,2,935
0,3,14,3,925
0,3,14,4,917
0,2,14,5,890
0,1,14,6,919
0,0,14,7,901
0,3,15,0,897
0,2,15,1,918
0,1,15,2,901
0,0,15,3,903
0,0,15,4,887
0,1,15,5,922
0,2,15,6,899
0,3,15,7,898
0,0,16,0,888
0,1,16,1,904
0,2,16,2,925
0,3,16,3,899
0,3,16,4,890
0,2,16,5,913
0,1,16,6,914
0,0,16,7,885
0,3,17,0,931
0,2,17,1,898
0,1,17,2,919
0,0,17,3,902
0,0,17,4,910
0,1,17,5,898
0,2,17,6,919
0,3,17,7,895
0,0,18,0,901
0,1,18,1,889
0,2,18,2,885
0,3,18,3,892
0,3,18,4,891
0,2,18,5,915
0,1,18,6,917
0,0,18,7,880
0,3,19,0,913
0,2,19,1,898
0,1,19,2,898
0,0,19,3,892
0,0,19,4,887
0,1,19,5,903
0,2,19,6,907
0,3,19,7,879
0,0,20,0,900
0,1,20,1,921
0,2,20,2,923
0,3,20,3,919
0,3,20,4,919
0,2,20,5,915
0,1,20,6,919
0,0,20,7,901
0,3,21,0,900
0,2,21,1,905
0,1,21,2,914
0,0,21,3,897
0,0,21,4,906
0,1,21,5,903
0,2,21,6,926
0,3,21,7,907
0,0,22,0,918
0,1,22,1,908
0,2,22,2,919
0,3,22,3,900
0,3,22,4,916
0,2,22,5,910
0,1,22,6,900
0,0,22,7,886
0,3,23,0,885
0,2,23,1,916
0,1,23,2,912
0,0,23,3,885
0,0,23,4,895
0,1,23,5,910
0,2,23,6,922
0,3,23,7,899
0,0,24,0,917
0,1,24,1,906
0,2,24,2,882
0,3,24,3,892
0,3,24,4,922
0,2,24,5,897
0,1,24,6,927
0,0,24,7,882
0,3,25,0,891
0,2,25,1,906
0,1,25,2,889
0,0,25,3,912
0,0,25,4,904
0,1,25,5,921
0,2,25,6,890
0,3,25,7,905
0,0,26,0,912
0,1,26,1,909
0,2,26,2,898
0,3,26,3,883
0,3,26,4,881
0,2,26,5,886
0,1,26,6,909
0,0,26,7,876
0,3,27,0,885
0,2,27,1,890
0,1,27,2,919
0,0,27,3,922
0,0,27,4,905
0,1,27,5,922
0,2,27,6,907
0,3,27,7,897
0,0,28,0,894
0,1,28,1,931
0,2,28,2,912
0,3,28,3,914
0,3,28,4,900
0,2,28,5,920
0,1,28,6,916
0,0,28,7,908
0,3,29,0,872
0,2,29,1,901
0,1,29,2,897
0,0,29,3,913
0,0,29,4,858
0,1,29,5,949
0,2,29,6,897
0,3,29,7,889
0,0,30,0,922
0,1,30,1,873
0,2,30,2,899
0,3,30,3,894
0,3,30,4,885
0,2,30,5,882
0,1,30,6,902
0,0,30,7,893
0,3,31,0,896
0,2,31,1,920
0,1,31,2,888
0,0,31,3,915
0,0,31,4,889
0,1,31,5,933
0,2,31,6,906
0,3,31,7,898
1,0,0,0,1113
1,1,0,1,1091
1,2,0,2,933
1,3,0,3,986
1,3,0,4,908
1,2,0,5,942
1,1,0,6,907
1,0,0,7,901
1,3,1,0,898
1,2,1,1,876
1,1,1,2,882
1,0,1,3,906
1,0,1,4,888
1,1,1,5,906
1,2,1,6,921
1,3,1,7,909
1,0,2,0,881
1,1,2,1,906
1,2,2,2,906
1,3,2,3,902
1,3,2,4,879
1,2,2,5,904
1,1,2,6,904
1,0,2,7,904
1,3,3,0,907
1,2,3,1,913
1,1,3,2,911
1,0,3,3,906
1,0,3,4,900
1,1,3,5,893
1,2,3,6,898
1,3,3,7,903
1,0,4,0,887
1,1,4,1,887
1,2,4,2,892
1,3,4,3,889
1,3,4,4,913
1,2,4,5,889
1,1,4,6,913
1,0,4,7,920
1,3,5,0,918
1,2,5,1,918
1,1,5,2,917
1,0,5,3,912
1,0,5,4,906
1,1,5,5,887
1,2,5,6,908
1,3,5,7,873
1,0,6,0,936
1,1,6,1,891
1,2,6,2,882
1,3,6,3,881
1,3,6,4,882
1,2,6,5,905
1,1,6,6,890
1,0,6,7,883
1,3,7,0,880
1,2,7,1,903
1,1,7,2,898
1,0,7,3,902
1,0,7,4,885
1,1,7,5,915
1,2,7,6,930
1,3,7,7,930
1,0,8,0,905
1,1,8,1,897
1,2,8,2,902
1,3,8,3,900
1,3,8,4,916
1,2,8,5,884
1,1,8,6,896
1,0,8,7,909
1,3,9,0,948
1,2,9,1,910
1,1,9,2,902
1,0,9,3,917
1,0,9,4,880
1,1,9,5,899
1,2,9,6,907
1,3,9,7,923
1,0,10,0,927
1,1,10,1,906
1,2,10,2,900
1,3,10,3,921
1,3,10,4,890
1,2,10,5,895
1,1,10,6,929
1,0,10,7,908
1,3,11,0,901
1,2,11,1,897
1,1,11,2,905
1,0,11,3,903
1,0,11,4,918
1,1,11,5,930
1,2,11,6,886
1,3,11,7,935
1,0,12,0,879
1,1,12,1,905
1,2,12,2,904
1,3,12,3,897
1,3,12,4,898
1,2,12,5,901
1,1,12,6,918
1,0,12,7,912
1,3,13,0,886
1,2,13,1,906
1,1,13,2,901
1,0,13,3,927
1,0,13,4,891
1,1,13,5,896
1,2,13,6,888
1,3,13,7,901
1,0,14,0,888
1,1,14,1,926
1,2,14,2,941
1,3,14,3,898
1,3,14,4,873
1,2,14,5,909
1,1,14,6,892
1,0,14,7,881
1,3,15,0,901
1,2,15,1,925
1,1,15,2,913
1,0,15,3,926
1,0,15,4,885
1,1,15,5,893
1,2,15,6,910
1,3,15,7,883
1,0,16,0,919
1,1,16,1,906
1,2,16,2,895
1,3,16,3,890
1,3,16,4,880
1,2,16,5,901
1,1,16,6,931
1,0,16,7,889
1,3,17,0,931
1,2,17,1,921
1,1,17,2,904
1,0,17,3,899
1,0,17,4,894
1,1,17,5,874
1,2,17,6,894
1,3,17,7,879
1,0,18,0,900
1,1,18,1,914
1,2,18,2,883
1,3,18,3,881
1,3,18,4,877
1,2,18,5,892
1,1,18,6,902
1,0,18,7,914
1,3,19,0,912
1,2,19,1,893
1,1,19,2,895
1,0,19,3,891
1,0,19,4,886
1,1,19,5,933
1,2,19,6,904
1,3,19,7,891
1,0,20,0,875
1,1,20,1,895
1,2,20,2,897
1,3,20,3,904
1,3,20,4,939
1,2,20,5,925
1,1,20,6,904
1,0,20,7,901
1,3,21,0,894
1,2,21,1,902
1,1,21,2,901
1,0,21,3,911
1,0,21,4,884
1,1,21,5,897
1,2,21,6,906
1,3,21,7,880
1,0,22,0,904
1,1,22,1,928
1,2,22,2,895
1,3,22,3,899
1,3,22,4,874
1,2,22,5,924
1,1,22,6,926
1,0,22,7,894
1,3,23,0,906
1,2,23,1,913
1,1,23,2,918
1,0,23,3,897
1,0,23,4,878
1,1,23,5,899
1,2,23,6,916
1,3,23,7,888
1,0,24,0,884
1,1,24,1,893
1,2,24,2,909
1,3,24,3,892
1,3,24,4,918
1,2,24,5,917
1,1,24,6,910
1,0,24,7,902
1,3,25,0,902
1,2,25,1,915
1,1,25,2,906
1,0,25,3,907
1,0,25,4,926
1,1,25,5,891
1,2,25,6,873
1,3,25,7,916
1,0,26,0,870
1,1,26,1,891
1,2,26,2,919
1,3,26,3,917
1,3,26,4,879
1,2,26,5,918
1,1,26,6,914
1,0,26,7,919
1,3,27,0,908
1,2,27,1,1385
1,1,27,2,925
1,0,27,3,893
1,0,27,4,873
1,1,27,5,901
1,2,27,6,875
1,3,27,7,906
1,0,28,0,907
1,1,28,1,900
1,2,28,2,908
1,3,28,3,904
1,3,28,4,885
1,2,28,5,922
1,1,28,6,890
1,0,28,7,893
1,3,29,0,894
1,2,29,1,888
1,1,29,2,897
1,0,29,3,901
1,0,29,4,884
1,1,29,5,887
1,2,29,6,888
1,3,29,7,920
1,0,30,0,917
1,1,30,1,896
1,2,30,2,937
1,3,30,3,899
1,3,30,4,904
1,2,30,5,916
1,1,30,6,885
1,0,30,7,893
1,3,31,0,906
1,2,31,1,934
1,1,31,2,913
1,0,31,3,917
1,0,31,4,896
1,1,31,5,916
1,2,31,6,890
1,3,31,7,910
2,0,0,0,1594
2,1,0,1,1625
2,2,0,2,1630
2,3,0,3,1582
2,3,0,4,1564
2,2,0,5,1598
2,1,0,6,1677
2,0,0,7,1569
2,3,1,0,1582
2,2,1,1,1580
2,1,1,2,1605
2,0,1,3,1567
2,0,1,4,1570
2,1,1,5,1609
2,2,1,6,1614
2,3,1,7,1593
2,0,2,0,1595
2,1,2,1,1611
2,2,2,2,1603
2,3,2,3,1580
2,3,2,4,1567
2,2,2,5,1605
2,1,2,6,1580
2,0,2,7,1604
2,3,3,0,1661
2,2,3,1,1587
2,1,3,2,1595
2,0,3,3,1577
2,0,3,4,1564
2,1,3,5,1594
2,2,3,6,1600
2,3,3,7,1573
2,0,4,0,1588
2,1,4,1,1599
2,2,4,2,1588
2,3,4,3,1576
2,3,4,4,1579
2,2,4,5,1561
2,1,4,6,1618
2,0,4,7,1584
2,3,5,0,1598
2,2,5,1,1598
2,1,5,2,1598
2,0,5,3,1603
2,0,5,4,1566
2,1,5,5,1611
2,2,5,6,1603
2,3,5,7,1578
2,0,6,0,1564
2,1,6,1,1614
2,2,6,2,1600
2,3,6,3,1576
2,3,6,4,1600
2,2,6,5,1587
2,1,6,6,1568
2,0,6,7,1595
2,3,7,0,1547
2,2,7,1,1611
2,1,7,2,1596
2,0,7,3,1560
2,0,7,4,1579
2,1,7,5,1632
2,2,7,6,1616
2,3,7,7,1575
2,0,8,0,1551
2,1,8,1,1590
2,2,8,2,1608
2,3,8,3,1588
2,3,8,4,1575
2,2,8,5,1615
2,1,8,6,1599
2,0,8,7,1610
2,3,9,0,1563
2,2,9,1,1582
2,1,9,2,1607
2,0,9,3,1567
2,0,9,4,1573
2,1,9,5,1588
2,2,9,6,1592
2,3,9,7,1583
2,0,10,0,1561
2,1,10,1,1599
2,2,10,2,1623
2,3,10,3,1583
2,3,10,4,1616
2,2,10,5,1632
2,1,10,6,1570
2,0,10,7,1581
2,3,11,0,1604
2,2,11,1,1613
2,1,11,2,1605
2,0,11,3,1577
2,0,11,4,1582
2,1,11,5,1599
2,2,11,6,1583
2,3,11,7,1603
2,0,12,0,1594
2,1,12,1,1583
2,2,12,2,1590
2,3,12,3,1577
2,3,12,4,1567
2,2,12,5,1597
2,1,12,6,1576
2,0,12,7,1571
2,3,13,0,1565
2,2,13,1,1607
2,1,13,2,1605
2,0,13,3,1583
2,0,13,4,1575
2,1,13,5,1622
2,2,13,6,1594
2,3,13,7,1597
2,0,14,0,1572
2,1,14,1,1591
2,2,14,2,1625
2,3,14,3,1586
2,3,14,4,1606
2,2,14,5,1591
2,1,14,6,1568
2,0,14,7,1616
2,3,15,0,1577
2,2,15,1,1597
2,1,15,2,1596
2,0,15,3,1576
2,0,15,4,1596
2,1,15,5,1607
2,2,15,6,1556
2,3,15,7,1592
2,0,16,0,1636
2,1,16,1,1614
2,2,16,2,1583
2,3,16,3,1590
2,3,16,4,1613
2,2,16,5,1607
2,1,16,6,1617
2,0,16,7,1569
2,3,17,0,1609
2,2,17,1,1577
2,1,17,2,1593
2,0,17,3,1603
2,0,17,4,1607
2,1,17,5,1601
2,2,17,6,1589
2,3,17,7,1567
2,0,18,0,1568
2,1,18,1,1608
2,2,18,2,1613
2,3,18,3,1581
2,3,18,4,1579
2,2,18,5,1568
2,1,18,6,1627
2,0,18,7,1577
2,3,19,0,1592
2,2,19,1,1607
2,1,19,2,1564
2,0,19,3,1608
2,0,19,4,1571
2,1,19,5,1592
2,2,19,6,1605
2,3,19,7,1575
2,0,20,0,1574
2,1,20,1,1631
