implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_m_terminal_cycles - 630 +85+22+35-4-16+2+19-4+2-18-7-2+0-7-2+9-3-7-8+25+6+11-14-11+3+9+18+1-4-8+2+19
forward_p_terminal_cycles - 646 +40-12+12+12+8+8-7-8-4+25-6-18+7+10-13+10+15+1-2+6-10-18-2+11-18-14-8-7+2+15-4+21
forward_m_full_cycles - 885 +16+20-7+14-7-7-12-12-6-5+2-11+15-23+6-3-7+18-3-17+10-3+8+7+2+9+11-32+15+8-6+9
forward_p_full_cycles - 907 +29+4-16+3-21-21+22-19-5+7-7+10-17+24-29-13+15-3+24-16-6-3-30-13+18+22+8+8+10+19+6-5
baseinv_j1_cycles - 1195 +74+15+8-14-17-6+86+13+9+6-22-4-4+1-2+12-15-4-6+8+1-5-3+14+3-9+5+8-6-6-11+15
basemul_f0_j1_cycles - 610 +28+27+19+2-6-7+7+5+8+1-5-5-1-5-2-1-3-7+1-3+2-3+1-3-3+7+6+4-4-3+2+10
basemul_general_m_cycles - 724 +90+15-15-13-5-15-8+9-24+19-24+11-7-16+9-15-14+11-18+45+7-10+0-10-17+10+53+16+10+1+64+2
basemul_scale_m_cycles - 633 +43+5+1+7+5-2+2+3+0+2-2-3+0+2-2+3+6-5-4+0+0-7+1-4-1+4-4+5+0-5-1-5
inverse_m_core_cycles - 613 -10+27+15+17-3-3-5-20+14+8-7+48-17+1+30-2+7+5-13+3+30-3+0-4+12-23-13-8+16-8+5-5
inverse_m_tail_cycles - 583 +99+22+28-5+5+9+2+1-1-6-13+17-20+4+0-6-14-2-7-2+4-6+13+5+1-11-15+6-11+5+2-12
inverse_m_full_cycles - 966 +77+17+15+7-17+13+26+12-15+17+5-9-29-17-12+5-21-6-4+5-21-14+14+12+1-34-15+5-7+47+13-15
q24_unpack_m_cycles - 386 +49+34+32+17+6+4-5-10-4+0+6+6-2+18-9-13+2-10-1-1+5+2-5-7-8-8-2+2-11+0+2+3
q24_pack_m_centered_cycles - 422 +9+26+7+6+1-13+5+0-3+0-12+3+3-3-12+10+7-10+1+5-1-11+9+1-8-1-3+3+21-9-23-4
q24_pack_m_lazy_cycles - 479 +20+32+25+4+1-1-2+6+3+1+15-7-8+1-6-3+5+12+8+8-8-6-13+2-1-7+1-3-12-8-4-16
q24_pack_m_highrange_cycles - 475 +26+14+32+7+6+0-5+2-5+2+10+0+2+4-2-7+17+7-8+10-4-5-3+3+5-7-10-8-4-8-11-17
q24_pack_p_cycles - 456 +29+15+30+8+29-4-5+1-8+8+4-4-1-10-5-1-8+3-2-4-9+13-2+4+7+7-8+1-6+4-2-13
q24_equal_m_cycles - 328 +69+22+1+14+7+15+2-6+16+10-6-15-6-7+10+7-4+3-7-8-8-1-8+3-11+1-11-10+4+4+0-2
