implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
hash_f_cycles - 10911 +87+125+82-11-49+90+73+18+31+27-6+49+26-171-116-3-96-77+89-156-60-7-35+31+37+30-137-49-176-10-113-6
hash_g_cycles - 12087 +378+195-170-61-72+114-140+140-82-133-121+55-125+78-135+395+114-119+77+109-31+118-29-145+169+82-2-109+61+130-131-151
hash_h_cycles - 2640 +81+5-23+18+0-1+17+9-12-17+5+9+5-46+4-53-11+28-25+20+6-8-3+28-12+12-8+17-13-32-49+0
poly_mul_small_cycles - 2921 +129+66+43-26+35-8-8-3-5+20-27-4+13+5+2-6+0-7-3+10+16+41+17+3-40-38-13-31+8+3+7-6
poly_mul_general_cycles - 2922 +69+9-16+16-10+18+10-18-23-16-10+0+24+14-44-15-5+8+37-26+32-23+14-5-4-31+40+23-16-24+54+32
forward_small_native_inplace_cycles - 948 +44+42+8+0-19-9-7-9-5-15-4+1+18+1+10-1+3+5+10+12-10-13+18-3+30-11-7+21-12+21+4-28
forward_small_preserve_input_cycles - 976 +57+11+9+6+2-3+3-18-7+25-4-16+20-1+9-20+27+2+40+25-10+9-4-39-6-10-5+2-14-5+1+5
forward_general_native_inplace_unqualified_cycles - 957 +20-5+21+13+2-4-4+5+25-4-22+11+1+8+18-9+5+2-7-9-2-21-7+15+17+0+0-26+8-13+0-2
forward_general_preserve_input_unqualified_cycles - 981 +69+8+17+2-6+3+11+18+1+3-20-5-23-5+7+4+0-17-1+25-30-7+4+17-10-4+33-19-1-1-11+0
basemul_cycles - 721 +31+2-2+3+4+7-2+1+0+0-7-1-3+8+2+1+2-1-4-2-12+0-9+3+8+2+1+0-8+7-14-4
basemul_scale_cycles - 625 +30+8+12+0-3+3-8-5-6+8-5-2-2-5+1+12+1+2+1-3+8+4-4-7+7-5+7-2-2-5+7+8
inverse_cycles - 993 +117+23+15-17+6-15+17-11+8-9+6+18+3+10-11+2-10-19+14-6-1-1+9+13-6-11+1+8-15-18-10-6
baseinv_cycles - 1243 +31+17+6-18-1-19+3-9-17-21-14+69-13-5-3+6-19+6+199+21+5+156-4-8-14+14-3+9-6-15+12+21
poly_frombytes_cycles - 346 +43+3-4-3+3-1-4+6-2+8+10+1+14+8+2-3-2+2-2+7+5+4-5+1-2-2-7-5+0-2+1+8
poly_tobytes_cycles - 417 +22-1-4+2+9+2-1+6-3-4+5+2-2+3-5-1+3+0-1+6-2-5+2-5-3-4-1-5+3+8-2+4
cbd1_cycles - 329 +11+3+1-13-6+0+10-17-22-16-12-15-4+9+3+9-17+4-23-24-2+4+9-18+5+6+4+1-1+7+5-16
crepmod3_cycles - 422 +24+7+4+3+4+3-2+4+5+0+1+5+2-3-13+4-4-5-1+1-1+1-8+10-5-1+1-1-8-3-1-10
poly_add_cycles - 239 +56+36-16-8-15-11-6+5-9-9-14-1+7+6-12+5+7+6+8+0-4+3+0+6-12-15+10+10-5+10-2+3
poly_sub_cycles - 235 +27+18+6-9-13+3+2+1-1-4-7+1-5-12-1+1-3+11+7+3-12-5+5+4-4+3-5-2+12+0-9+6
sotp_encode_cycles - 333 +37+17-7+2-4+0+2+5+7+1+2+1+8-6-1-2+0+1-2+1+5-3-3-2+9+1-1+7+1-2-1-4
sotp_decode_cycles - 343 +93+11+1-5-2+1+2+3-4-1-1-1+9-2+7-3-3-1+2-5+4+1-1+0-4+0-3-1+3-4+1+6
hash_f_cycles - 10817 +307+8+28+44+44-149+121-23+35-51-71-66+32-29+3+27-59-24+5-70-5+4-29+666+171+96-22+121+14-93-107-3
hash_g_cycles - 12149 -75+47+62+0+0-21+75+18+11-84+14+42+76-59-9-7-18-5-119+50+18+52+5-17+43-47+34-56+2-21-99-173
hash_h_cycles - 2647 +44+34-1+23+24+13+12-20-22+5+2-7+21+8-12-15-4-19+15-25-6+7-21+4-10+2-3-27+8+15-3-22
poly_mul_small_cycles - 2935 +65+15+37-20+21-8-15+2-17-29-22+10+5+14+12-29+29-24+17-4-13+11-9+32-1-15+6+2-33+32-44-4
poly_mul_general_cycles - 2920 +93+25+9+21-13+39-12-35-15+18+34-7+10+11-5+16-13-28+12+10-31-23+1-27-47-32+14+0-4-25+30-1
