parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
864,reversed-aslr-on,keypair_cycles,-307.2243923611107,-311.1354166666679,-329.812934027777,-279.1835937499995,47,48,candidate-faster
864,reversed-aslr-on,enc_cycles,-147.7005208333325,-154.12499999999818,-165.3923611111104,-127.27387152777722,46,48,candidate-faster
864,reversed-aslr-on,dec_cycles,-196.76519097222194,-189.78125000000182,-214.76475694444466,-179.37586805555557,48,48,candidate-faster
