parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
1152,normal-aslr-off,keypair_cycles,-504.6940104166663,-351.22916666666424,-1084.6145833333337,82.23177083333485,10,16,candidate-faster
1152,normal-aslr-off,enc_cycles,-267.1614583333321,-288.4375,-330.57942708333167,-196.9505208333303,15,16,candidate-faster
1152,normal-aslr-off,dec_cycles,-147.56250000000045,-150.15625,-217.26562500000182,-58.494791666667425,14,16,candidate-faster
1152,normal-aslr-on,keypair_cycles,-84.7161458333328,-27.593750000003638,-491.51432291666674,322.9726562500018,9,16,candidate-faster
1152,normal-aslr-on,enc_cycles,-386.47265625000045,-307.89583333333576,-645.7994791666647,-222.69401041666652,15,16,candidate-faster
1152,normal-aslr-on,dec_cycles,-240.08984374999977,-225.88541666666606,-290.2643229166663,-191.6770833333328,16,16,candidate-faster
1152,reversed-aslr-off,keypair_cycles,-522.3828125,-503.71875,-1144.2734375000005,51.70442708333394,9,16,candidate-faster
1152,reversed-aslr-off,enc_cycles,-390.19921875,-414.57291666666424,-461.3684895833335,-320.43229166666697,16,16,candidate-faster
1152,reversed-aslr-off,dec_cycles,-75.22656250000023,-141.51041666666788,-167.40494791666652,49.363281249999545,14,16,candidate-faster
1152,reversed-aslr-on,keypair_cycles,-746.234375,-838.6979166666642,-1202.8554687499995,-304.2929687499991,12,16,candidate-faster
1152,reversed-aslr-on,enc_cycles,-339.89453125000136,-412.3333333333394,-433.96614583333576,-221.54427083333485,15,16,candidate-faster
1152,reversed-aslr-on,dec_cycles,-200.7109375,-222.125,-282.75,-99.08723958333348,14,16,candidate-faster
