implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_native_inplace_cycles - 1404 +82+1+15+10+11-3+6-1-13-32-6+10-2+25-13+458+12-8+43-53-5+25-21+15+18-7-4-11+13-12-29-13
forward_small_preserve_input_cycles - 1423 +259+1-6+18+4+3-6-6-3+7-13-5+5+11-3-11+14+15-16+2-1+17-19-20+21+10+1-8+12-10-7+11
forward_general_native_inplace_unqualified_cycles - 1398 +70+36+25+3+6-13-19-13-6-8+12+3-17+5-15-18+12+5-17-4+1-16-4-5+10+0+5+1+15-28+19-1
forward_general_preserve_input_unqualified_cycles - 1430 +168+22-9+20+22+8+3+8+3-14+30-8+14+12-9-51-15-2-8+2+1-2+12-31-6+10+6-36-7-6+3-7
basemul_cycles - 960 +266+1-10+8-8-5-8-9-4+1+14+1-1-3-6+2-9-8+5+2+5+10-4-3+10+2+0-8+2+11-9+3
basemul_scale_cycles - 835 +124+17+6+9+5+1-1+1+0+2-1+1+1+0-5+0-4+3+3-3-1+1-3-3+0-1-2-3+0-3-2-3
inverse_cycles - 1485 +553+79+7-6+10-9+12-2-9-20-1+0+6+6+10+23-7+4+9-2-5+0-19+4-18-8-3+0-15+7-1-14
baseinv_cycles - 1583 +2387+68+2+4+104+3+4-3+12-9+8-8+20-16-21+2-19+9+5-20-8-2-7+2-8-14+9-8+29+8-16-9
poly_frombytes_cycles - 425 +95+23+3+0-3+7-6+1+3+5-2-1+1-3+2-5+7-3-2+0+2-1+0-1-1+3+1+1-7+2-9-2
poly_tobytes_cycles - 526 +72+4-5+6-1+10-8-7+6+3+3+8+1-4+8-2-6+5-2-3-5-1+4+0+1+2-2-4-2+3-3-2
cbd1_cycles - 389 +184+11+15+3-1+17+1+7+1-10-13-10+5+4+1-11-14-14-13-15-7-1+4-12+5+3-3+6-13+0+1-3
