region,block,slot,observation,bank,cycles
0,0,0,0,0,12425
0,0,0,1,1,12214
0,0,0,2,2,12301
0,0,0,3,3,12419
0,0,0,4,4,12323
0,0,0,5,5,12439
0,0,0,6,6,12396
0,0,0,7,7,12429
0,0,0,8,8,12378
0,0,0,9,9,12395
0,0,0,10,10,12444
0,0,0,11,11,12431
0,0,0,12,12,12447
0,0,0,13,13,12435
0,0,0,14,14,12408
0,0,0,15,15,12485
0,0,0,16,0,12506
0,0,0,17,1,12556
0,0,0,18,2,12462
0,0,0,19,3,12383
0,0,0,20,4,12495
0,0,0,21,5,12484
0,0,0,22,6,12425
0,0,0,23,7,13530
0,0,0,24,8,12318
0,0,0,25,9,12500
0,0,0,26,10,12408
0,0,0,27,11,12391
0,0,0,28,12,12364
0,0,0,29,13,12488
0,0,0,30,14,12469
0,0,0,31,15,12317
0,0,1,0,0,12323
0,0,1,1,1,12234
0,0,1,2,2,12281
0,0,1,3,3,12396
0,0,1,4,4,12391
0,0,1,5,5,12366
0,0,1,6,6,12344
0,0,1,7,7,12351
0,0,1,8,8,12292
0,0,1,9,9,12289
0,0,1,10,10,12289
0,0,1,11,11,12262
0,0,1,12,12,12237
0,0,1,13,13,12303
0,0,1,14,14,12334
0,0,1,15,15,12291
0,0,1,16,0,12387
0,0,1,17,1,12399
0,0,1,18,2,12328
0,0,1,19,3,12368
0,0,1,20,4,12302
0,0,1,21,5,15610
0,0,1,22,6,12232
0,0,1,23,7,12303
0,0,1,24,8,12441
0,0,1,25,9,12371
0,0,1,26,10,12346
0,0,1,27,11,12351
0,0,1,28,12,12407
0,0,1,29,13,12331
0,0,1,30,14,12336
0,0,1,31,15,12383
0,0,2,0,0,12229
0,0,2,1,1,12464
0,0,2,2,2,12378
0,0,2,3,3,12417
0,0,2,4,4,12219
0,0,2,5,5,12277
0,0,2,6,6,12302
0,0,2,7,7,12324
0,0,2,8,8,12321
0,0,2,9,9,12394
0,0,2,10,10,12377
0,0,2,11,11,12310
0,0,2,12,12,12262
0,0,2,13,13,12331
0,0,2,14,14,12313
0,0,2,15,15,12261
0,0,2,16,0,12300
0,0,2,17,1,12392
0,0,2,18,2,12310
0,0,2,19,3,12301
0,0,2,20,4,12437
0,0,2,21,5,12419
0,0,2,22,6,12233
0,0,2,23,7,12345
0,0,2,24,8,12262
0,0,2,25,9,12321
0,0,2,26,10,12324
0,0,2,27,11,12340
0,0,2,28,12,12252
0,0,2,29,13,12272
0,0,2,30,14,12322
0,0,2,31,15,12328
0,0,3,0,0,12307
0,0,3,1,1,12372
0,0,3,2,2,12311
0,0,3,3,3,12443
0,0,3,4,4,12380
0,0,3,5,5,12301
0,0,3,6,6,12439
0,0,3,7,7,12429
0,0,3,8,8,12470
0,0,3,9,9,12498
0,0,3,10,10,12295
0,0,3,11,11,12446
0,0,3,12,12,12381
0,0,3,13,13,12366
0,0,3,14,14,12349
0,0,3,15,15,12487
0,0,3,16,0,12375
0,0,3,17,1,12448
0,0,3,18,2,12355
0,0,3,19,3,12487
0,0,3,20,4,12468
0,0,3,21,5,12407
0,0,3,22,6,12306
0,0,3,23,7,12607
0,0,3,24,8,12436
0,0,3,25,9,12438
0,0,3,26,10,12456
0,0,3,27,11,12475
0,0,3,28,12,12312
0,0,3,29,13,12390
0,0,3,30,14,12377
0,0,3,31,15,12399
0,1,0,0,0,12257
0,1,0,1,1,12336
0,1,0,2,2,12404
0,1,0,3,3,12327
0,1,0,4,4,12341
0,1,0,5,5,12420
0,1,0,6,6,12338
0,1,0,7,7,12387
0,1,0,8,8,12320
0,1,0,9,9,12478
0,1,0,10,10,12226
0,1,0,11,11,12305
0,1,0,12,12,12349
0,1,0,13,13,12336
0,1,0,14,14,12313
0,1,0,15,15,12322
0,1,0,16,0,12257
0,1,0,17,1,12299
0,1,0,18,2,12330
0,1,0,19,3,12353
0,1,0,20,4,12250
0,1,0,21,5,12251
0,1,0,22,6,12347
0,1,0,23,7,12390
0,1,0,24,8,12339
0,1,0,25,9,12373
0,1,0,26,10,12399
0,1,0,27,11,12257
0,1,0,28,12,12278
0,1,0,29,13,12243
0,1,0,30,14,12356
0,1,0,31,15,12281
0,1,1,0,0,12312
0,1,1,1,1,12455
0,1,1,2,2,12354
0,1,1,3,3,12449
0,1,1,4,4,12418
0,1,1,5,5,12381
0,1,1,6,6,12279
0,1,1,7,7,12432
0,1,1,8,8,12496
0,1,1,9,9,12430
0,1,1,10,10,12493
0,1,1,11,11,12312
0,1,1,12,12,12417
0,1,1,13,13,12435
0,1,1,14,14,12411
0,1,1,15,15,12445
0,1,1,16,0,12369
0,1,1,17,1,12449
0,1,1,18,2,12436
0,1,1,19,3,12439
0,1,1,20,4,12488
0,1,1,21,5,12416
0,1,1,22,6,12410
0,1,1,23,7,12429
0,1,1,24,8,12417
0,1,1,25,9,12603
0,1,1,26,10,12472
0,1,1,27,11,12391
0,1,1,28,12,12451
0,1,1,29,13,12328
0,1,1,30,14,12490
0,1,1,31,15,12454
0,1,2,0,0,12437
0,1,2,1,1,12339
0,1,2,2,2,12382
0,1,2,3,3,12322
0,1,2,4,4,12282
0,1,2,5,5,12378
0,1,2,6,6,12336
0,1,2,7,7,12390
