region,block,slot,observation,bank,cycles
0,0,0,0,0,12371
0,0,0,1,1,12369
0,0,0,2,2,12511
0,0,0,3,3,12436
0,0,0,4,4,12392
0,0,0,5,5,12313
0,0,0,6,6,12389
0,0,0,7,7,12406
0,0,0,8,8,12350
0,0,0,9,9,12374
0,0,0,10,10,12454
0,0,0,11,11,12514
0,0,0,12,12,12443
0,0,0,13,13,12346
0,0,0,14,14,12450
0,0,0,15,15,12345
0,0,0,16,0,12459
0,0,0,17,1,12383
0,0,0,18,2,12377
0,0,0,19,3,12328
0,0,0,20,4,12355
0,0,0,21,5,12427
0,0,0,22,6,12278
0,0,0,23,7,12358
0,0,0,24,8,12444
0,0,0,25,9,12417
0,0,0,26,10,12383
0,0,0,27,11,12336
0,0,0,28,12,12271
0,0,0,29,13,12285
0,0,0,30,14,12226
0,0,0,31,15,12502
0,0,1,0,0,12336
0,0,1,1,1,12248
0,0,1,2,2,12342
0,0,1,3,3,12275
0,0,1,4,4,12406
0,0,1,5,5,12288
0,0,1,6,6,12298
0,0,1,7,7,12352
0,0,1,8,8,12420
0,0,1,9,9,12385
0,0,1,10,10,12438
0,0,1,11,11,12271
0,0,1,12,12,12354
0,0,1,13,13,12417
0,0,1,14,14,12429
0,0,1,15,15,12364
0,0,1,16,0,12296
0,0,1,17,1,12245
0,0,1,18,2,12297
0,0,1,19,3,12273
0,0,1,20,4,12412
0,0,1,21,5,12374
0,0,1,22,6,12424
0,0,1,23,7,12428
0,0,1,24,8,12347
0,0,1,25,9,12289
0,0,1,26,10,12353
0,0,1,27,11,12318
0,0,1,28,12,12399
0,0,1,29,13,12333
0,0,1,30,14,12332
0,0,1,31,15,12361
0,0,2,0,0,12326
0,0,2,1,1,12321
0,0,2,2,2,12329
0,0,2,3,3,12289
0,0,2,4,4,12256
0,0,2,5,5,12293
0,0,2,6,6,12384
0,0,2,7,7,12246
0,0,2,8,8,12327
0,0,2,9,9,12349
0,0,2,10,10,12283
0,0,2,11,11,12311
0,0,2,12,12,12368
0,0,2,13,13,12380
0,0,2,14,14,12368
0,0,2,15,15,12357
0,0,2,16,0,12274
0,0,2,17,1,12320
0,0,2,18,2,12334
0,0,2,19,3,12728
0,0,2,20,4,12452
0,0,2,21,5,12306
0,0,2,22,6,12277
0,0,2,23,7,12303
0,0,2,24,8,12294
0,0,2,25,9,12341
0,0,2,26,10,12328
0,0,2,27,11,12342
0,0,2,28,12,12432
0,0,2,29,13,12345
0,0,2,30,14,12298
0,0,2,31,15,12466
0,0,3,0,0,12345
0,0,3,1,1,12490
0,0,3,2,2,12347
0,0,3,3,3,12385
0,0,3,4,4,12338
0,0,3,5,5,12390
0,0,3,6,6,12357
0,0,3,7,7,12265
0,0,3,8,8,12470
0,0,3,9,9,12301
0,0,3,10,10,12379
0,0,3,11,11,12365
0,0,3,12,12,12341
0,0,3,13,13,12384
0,0,3,14,14,12442
0,0,3,15,15,12446
0,0,3,16,0,12413
0,0,3,17,1,12312
0,0,3,18,2,12383
0,0,3,19,3,12334
0,0,3,20,4,12306
0,0,3,21,5,12433
0,0,3,22,6,12345
0,0,3,23,7,12384
0,0,3,24,8,12338
0,0,3,25,9,12346
0,0,3,26,10,12364
0,0,3,27,11,12364
0,0,3,28,12,12370
0,0,3,29,13,12484
0,0,3,30,14,12446
0,0,3,31,15,12453
0,1,0,0,0,12312
0,1,0,1,1,12308
0,1,0,2,2,12317
