parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
1152,normal-aslr-on,keypair_cycles,-6985.071614583333,-7028.114583333332,-7257.998697916666,-6712.871093749999,48,48,candidate-faster
1152,normal-aslr-on,enc_cycles,-11259.555555555555,-11247.51041666667,-11297.750868055555,-11225.02734375,48,48,candidate-faster
1152,normal-aslr-on,dec_cycles,-6564.313802083333,-6558.625,-6586.772135416667,-6544.493489583333,48,48,candidate-faster
