parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
864,normal-aslr-on,keypair_cycles,-6293.54296875,-6271.625,-6328.783854166667,-6269.361545138889,48,48,candidate-faster
864,normal-aslr-on,enc_cycles,-9560.588975694443,-9525.187500000002,-9596.773871527777,-9526.096354166666,48,48,candidate-faster
864,normal-aslr-on,dec_cycles,-6534.797309027777,-6495.270833333336,-6569.93359375,-6505.128038194444,48,48,candidate-faster
